# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     75      -     43      3      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0   2795    572 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  10519      2      0      -      -      0      0      0 
    2     48     56      -      0      0      0      0      -      -    715   1328      0      0  10519      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   3817      2      0      0      0      0      0      0 
    0     62     76      -     45      3      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0   4119    516 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  10519      2      0      -      -      0      0      0 
    2     48     56      -      0      0      0      0      -      -    715   1328      0      0  10519      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   3817      2      0      0      0      0      0      0 
    0     63     76      -     38      3      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0   3641    534 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  10627      2      0      -      -      0      0      0 
    2     55     56      -      4      1      0      0      -      -    715   1328      0      0  10627      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   3817      2      0      0      0      0      0     40 
    0     57     76      -     43      3      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0   4186    570 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  10627      2      0      -      -      0      0      0 
    2     49     56      -      0      0      0      0      -      -    715   1328      0      0  10627      2      0      0      0      0      0      0 
    3     44     52      -      2      1      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0    126     87 
    0     75     76      -      9      4      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0      0      6 
    1     44     64      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     55      3 
    2     60     56      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     70     15 
    3     44     52      -     18      6      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     47      3 
    0     57     76      -      9      4      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0     91     15 
    1     44     64      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     69     13 
    2     42     56      -     15      5      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     53      0 
    3     50     52      -     16      5      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     67     60 
