# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     76      -     45      3      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0   4051    556 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10519      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10519      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3817      2      0      0      0      0      0      0 
    0     63     76      -     42      2      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0   4973    565 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10519      2      0      -      -      0      4     56 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10519      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3817      2      0      0      0      0      0      0 
    0     60     76      -     43      3      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0   2845    573 
    1     48     63      -      0      0      0      0      -      -    715   1316      0      0  10627      2      0      -      -      0      0      0 
    2     50     61      -      2      1      0      0      -      -    715   1316      0      0  10627      2      0      0      0      0      0      0 
    3     42     56      -      3      1      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0     16 
    0     55     76      -     42      2      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0     54     20 
    1    119     63      -      0      0      0      0      -      -    715   1316      0      0  10627      2      0      -      -      0      0     41 
    2     50     61      -     11      3      0      0      -      -    715   1316      0      0  10627      2      0      0      0      0    586     18 
    3     49     57      -     10      3      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     32     10 
    0     61     77      -     11      4      0      0      -      -    715   1328      0      0   2909      2      0      -      -      0      2     25 
    1     81     63      -     13      5      0      0      -      -    715   1316      0      0  10627      2      0      -      -      0     30      6 
    2     46     62      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     69     17 
    3     41     57      -     18      6      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     56      4 
    0     58     77      -     10      4      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0      0      9 
    1     44     63      -     15      5      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     63      1 
    2     60     62      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     60     18 
    3     51     57      -     18      6      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     24     10 
    0     59     77      -     14      5      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0     35     17 
    1     74     63      -     11      4      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0      6     10 
    2     45     62      -     14      5      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     62     18 
    3     51     57      -     18      6      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     35     67 
    0     50     77      -     12      4      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0     10     23 
    1     69     63      -     15      5      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     30      6 
    2     45     62      -     11      4      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     70      0 
    3     42     57      -     19      6      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     42     66 
    0     51     76      -     14      5      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0     11     23 
    1     72     63      -     11      4      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     23      6 
    2     45     62      -     11      4      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     67     18 
    3     47     57      -     13      4      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     39      7 
    0     65     77      -     10      3      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0      9     24 
    1     67     63      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     30      5 
    2     46     62      -     14      5      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     70     18 
    3     43     57      -     15      5      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     55     73 
    0     52     77      -     12      4      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0    105      0 
    1     59     63      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     10     15 
    2     73     62      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     54      4 
    3     71     57      -     12      4      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     18     71 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     77      -     10      4      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0    105      0 
    1     46     63      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     58     17 
    2     72     62      -     13      5      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     15      8 
    3     39     57      -     18      6      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     91     54 
    0     49     77      -     14      5      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0     30     12 
    1     44     63      -     15      5      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     69     14 
    2     45     62      -     11      4      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     50      0 
    3     52     57      -     19      6      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0     20 
    0     61     77      -     14      5      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0      0      6 
    1     44     64      -     14      5      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     55      3 
    2     62     62      -     11      4      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      2     17 
    3     56     57      -     18      6      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      7     61 
    0     50     77      -     14      5      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0     64      0 
    1     51     63      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     47      5 
    2     65     62      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0     70     15 
    3     39     58      -     14      5      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     63      2 
    0     72     77      -     10      3      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0      0      0 
    1     45     63      -     14      5      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0     25     11 
    2     74     62      -     16      6      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      0     18 
    3     43     58      -     13      4      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0     55      4 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2909      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0      0      0 
    2     45     61      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0      0 
