# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     94     77      -     57      6      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0     17    289 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      0      0 
    0     58     78      -     63      9      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   5152    469 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      0      0 
    0     56     77      -     10      2      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0      0      0 
    1    102     69      -     92     18      0      0      -      -    715   1328      0      0  10649      2      0      -      -      0     48      9 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      0      0 
    0     57     77      -     40      4      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0    584    565 
    1     53     68      -      1      0      0      0      -      -    715   1328      0      0  10649      2      0      -      -      0      0      1 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      0      0 
    0     88     77      -     48      3      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0     35    303 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0      0      0 
    2     49     56      -     20      5      0      0      -      -    715   1328      0      0  10653      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      0      0 
    0    127     77      -     56      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0      0    198 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0      0      0 
    2     48     55      -      0      0      0      0      -      -    715   1328      0      0  10653      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0    687     65 
    0     58     78      -     54      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   4975    217 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      0 
    3     41     51      -      1      0      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     21     63 
    0     72     78      -     53      6      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   2247    569 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      0 
    3     36     52      -     21      5      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      0      0 
    0     78     78      -     14      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0      0      0 
    1     47     68      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     31      9 
    2     66     55      -     16      6      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0     12 
    3     37     52      -     19      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     64      0 
    0     71     78      -      9      4      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0     54      0 
    1     52     68      -     16      6      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     47      5 
    2     61     55      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0     18 
    3     51     52      -     19      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     26      0 
    0     49     77      -     10      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     67      0 
    1     51     68      -     15      5      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     63      1 
    2     58     55      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      5     16 
    3     55     52      -     15      5      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     15      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     77      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     59     11 
    1     77     68      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     55      3 
    2     59     55      -     16      6      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     70     17 
    3     43     52      -     18      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     10     74 
    0     69     77      -     13      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0    105      0 
    1     62     68      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     68     17 
    2     54     55      -     14      5      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     12     15 
    3     55     52      -     19      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      7     14 
    0     66     77      -     11      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     38      0 
    1     51     68      -     16      6      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     69      0 
    2     56     55      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      1 
    3     39     52      -     19      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     81     56 
    0     55     77      -     10      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     67      9 
    1     74     68      -     16      6      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0      0     17 
    2     46     55      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      6     16 
    3     56     52      -     16      5      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      1     15 
    0     68     77      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     30      0 
    1     50     68      -     15      5      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     69     12 
    2     41     55      -     15      5      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     55     18 
    3     47     52      -     17      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     33     68 
    0     62     77      -     11      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     17     22 
    1     73     68      -     12      4      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     24      5 
    2     42     55      -     16      6      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     70      1 
    3     73     52      -     14      5      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      2     75 
    0     66     77      -     12      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     47     68      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     30     10 
    2     69     55      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     70     10 
    3     37     52      -     19      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     82     54 
    0     56     77      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     58     12 
    1     79     68      -     15      5      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0      0     14 
    2     41     55      -     16      6      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     52     18 
    3     51     52      -     14      5      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     23     10 
    0     64     77      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     39      0 
    1     51     68      -     16      6      0      0      -      -    715   1189      0      0  10649      2      0      -      -      0     63      1 
    2     58     56      -     16      6      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     67     18 
