ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	15.331635554326363	10.208227422973822	65	256
1584	warmup	2	15.313733230340501	10.287197993584902	65	256
1584	eval	1	15.32200877280765	68.10183444143046	1086	256
1584	eval	2	15.297472194304666	68.07645098279264	1086	256
1584	eval	3	15.302770393227998	68.05538078677534	1086	256
1584	eval	4	15.30000196031275	68.06072495702179	1086	256
1584	eval	5	15.304532395420573	68.10879621340179	1086	256
1586	warmup	1	14.438505418415762	10.172448034049218	65	256
1586	warmup	2	14.412718323125263	10.454838555578808	65	256
1586	eval	1	14.404337055860413	68.5513793219246	1086	256
1586	eval	2	14.409688263843643	68.72098974424655	1086	256
1586	eval	3	14.413386973653793	68.48406733308097	1086	256
1586	eval	4	14.406253304364007	68.55225774588436	1086	256
1586	eval	5	14.38351253916417	68.44302146823138	1086	256
1664	warmup	1	14.7389408286221	10.259622104971402	65	256
1664	warmup	2	14.71389858767265	10.5356246750165	65	256
1664	eval	1	14.674410093013405	68.94821779332563	1086	256
1664	eval	2	14.670899908988845	69.07451785700316	1086	256
1664	eval	3	14.636375544011495	69.13829052329856	1086	256
1664	eval	4	14.655305217626415	69.11358015027432	1086	256
1664	eval	5	14.675453212104152	69.02591656215851	1086	256
