# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     73      -     44      3      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   4530    509 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  10605      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10605      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3849      2      0      0      0      0      0      0 
    0     59     73      -     31      2      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   4696    546 
    1     51     69      -     46     10      0      0      -      -    715   1328      0      0  10605      2      0      -      -      0     74     43 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10605      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3849      2      0      0      0      0      0      0 
    0     61     74      -     43      3      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   4455    410 
    1     52     69      -      0      0      0      0      -      -    715   1328      0      0  10605      2      0      -      -      0      0      0 
    2     45     54      -      0      0      0      0      -      -    715   1316      0      0  10605      2      0      0      0      0      0      0 
    3     35     50      -      2      1      0      0      -      -    715   1189      0      0   3849      2      0      0      0      0     69      4 
    0     83     74      -     12      5      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0      0     21 
    1     46     68      -     11      4      0      0      -      -    715   1189      0      0  10605      2      0      -      -      0     54      0 
    2     48     55      -     10      3      0      0      -      -    715   1189      0      0  10605      2      0      0      0      0     23     11 
    3     56     50      -     13      5      0      0      -      -    715   1189      0      0   3849      2      0      0      0      0      0     13 
    0     72     74      -     11      4      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0      0     26 
