# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     77      -     61      9      0      0      -      -    715   1328      0      0   2955      2      0      -      -      0   5152    265 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0      0 
    0     71     77      -     61      9      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0   1810    584 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0      0 
    0     93     78      -     59      6      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0     45      6 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0      0      0 
    1    119     68      -     91     17      0      0      -      -    715   1328      0      0  10671      2      0      -      -      0     42     12 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0      0 
    0     59     78      -     48      6      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0   4913     12 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  10673      2      0      -      -      0     19     64 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10627      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0      0 
    0    104     78      -     40      4      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0   2027    583 
    1     44     65      -      0      0      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0      0      0 
    2     52     60      -     19      5      0      0      -      -    715   1328      0      0  10677      2      0      0      0      0      0     68 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3925      2      0      0      0      0      0      0 
    0    117     78      -     41      4      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0   4317    566 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0      0      0 
    2     51     60      -      0      0      0      0      -      -    715   1328      0      0  10677      2      0      0      0      0      0      0 
    3     37     55      -     17      3      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0      0      0 
    0     58     78      -     51      5      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0   5086    580 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0      0      0 
    3     38     56      -      0      0      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0      0      4 
    0     56     78      -      9      2      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0     10     24 
    1     61     65      -     12      3      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     38      0 
    2     44     60      -     12      3      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     64      1 
    3     77     56      -     15      5      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0     90     54 
    0     57     78      -     13      5      0      0      -      -    715   1328      0      0   2957      2      0      -      -      0     91      3 
    1     64     66      -     15      5      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     69      9 
    2     44     60      -     14      5      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     70      0 
    3     62     56      -     12      4      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0     19     71 
    0     51     78      -     10      4      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0     10     24 
    1     61     66      -     11      4      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     38     17 
    2     72     60      -     16      6      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     22      2 
    3     39     56      -     18      6      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0     75     57 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     78      -     10      4      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0     51      0 
    1     51     66      -     16      6      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     31     10 
    2     70     60      -     11      4      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0      0     12 
    3     38     56      -     12      4      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0     73     21 
    0     55     78      -     14      5      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0      0     13 
    1     45     66      -     16      6      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     69      9 
    2     67     60      -     14      5      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     63      2 
    3     80     56      -     12      4      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0      0     22 
    0     55     78      -     10      3      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0     43     15 
    1     76     66      -     11      4      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0      6      0 
    2     47     60      -     12      4      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     70     10 
    3     38     56      -     18      6      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0     82     17 
    0     57     78      -     13      5      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0      0      8 
    1     45     66      -     15      5      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     54      4 
    2     63     60      -     16      6      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     70      9 
    3     58     56      -     14      5      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0      0     61 
    0     50     78      -     12      4      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0     19     21 
    1     71     65      -     12      4      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     30      1 
    2     45     60      -     11      4      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     63      2 
    3     79     56      -     14      5      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0      0     22 
    0     55     78      -     12      4      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0     51     14 
    1     76     66      -     13      5      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     41     17 
    2     71     60      -     16      6      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     22      1 
    3     39     56      -     17      6      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0     70     59 
    0     49     77      -     10      4      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0     35     17 
    1     75     66      -     11      4      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     31     17 
    2     72     60      -     11      4      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     22      3 
    3     39     56      -     16      5      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0      7      9 
    0     62     78      -     12      5      0      0      -      -    715   1189      0      0   2957      2      0      -      -      0      0      2 
    1     45     66      -     16      6      0      0      -      -    715   1189      0      0  10673      2      0      -      -      0     31     10 
    2     73     60      -     11      4      0      0      -      -    715   1189      0      0  10677      2      0      0      0      0     22      2 
    3     39     56      -     13      5      0      0      -      -    715   1189      0      0   3963      2      0      0      0      0     83     10 
