# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     72     76      -     43      3      0      0      -      -    715   1328      0      0   2849      2      0      -      -      0   5010    578 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  10413      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10413      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3711      2      0      0      0      0      0      0 
    0     56     76      -     43      3      0      0      -      -    715   1328      0      0   2849      2      0      -      -      0   3732    550 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  10413      2      0      -      -      0      0     86 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10413      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3711      2      0      0      0      0      0      0 
    0     59     76      -     43      3      0      0      -      -    715   1328      0      0   2849      2      0      -      -      0   3951    570 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  10511      2      0      -      -      0      0      0 
    2     50     62      -      3      1      0      0      -      -    715   1316      0      0  10511      2      0      0      0      0      0      0 
    3     37     56      -      5      1      0      0      -      -    715   1189      0      0   3809      2      0      0      0      0      5     44 
    0     66     76      -     41      2      0      0      -      -    715   1328      0      0   2849      2      0      -      -      0     70      0 
    1     61     62      -      0      0      0      0      -      -    715   1189      0      0  10511      2      0      -      -      0      0     15 
    2     50     62      -      2      0      0      0      -      -    715   1316      0      0  10511      2      0      0      0      0    610      2 
    3     78     56      -     13      4      0      0      -      -    715   1189      0      0   3809      2      0      0      0      0      0     22 
    0     83     77      -     10      4      0      0      -      -    715   1328      0      0   2849      2      0      -      -      0      6      0 
    1     46     62      -     11      4      0      0      -      -    715   1189      0      0  10511      2      0      -      -      0     78      1 
    2     61     62      -     11      4      0      0      -      -    715   1189      0      0  10511      2      0      0      0      0      0     19 
    3     45     56      -     13      4      0      0      -      -    715   1189      0      0   3809      2      0      0      0      0     56     24 
    0     79     77      -     11      4      0      0      -      -    715   1189      0      0   2849      2      0      -      -      0      6      0 
    1     45     62      -     16      6      0      0      -      -    715   1189      0      0  10511      2      0      -      -      0     84      8 
    2     45     62      -     11      4      0      0      -      -    715   1189      0      0  10511      2      0      0      0      0     85      9 
    3     38     57      -     13      4      0      0      -      -    715   1189      0      0   3809      2      0      0      0      0    105     54 
    0     59     76      -     11      4      0      0      -      -    715   1189      0      0   2849      2      0      -      -      0    110      0 
    1     45     62      -     11      4      0      0      -      -    715   1189      0      0  10511      2      0      -      -      0     84      9 
    2     45     62      -     14      5      0      0      -      -    715   1189      0      0  10511      2      0      0      0      0     85     10 
    3     39     57      -     13      4      0      0      -      -    715   1189      0      0   3809      2      0      0      0      0    106     54 
    0     57     76      -     13      5      0      0      -      -    715   1189      0      0   2849      2      0      -      -      0      0     24 
    1     66     62      -     16      5      0      0      -      -    715   1189      0      0  10511      2      0      -      -      0     31     19 
    2     69     62      -     11      4      0      0      -      -    715   1189      0      0  10511      2      0      0      0      0     85      0 
    3     43     57      -     13      4      0      0      -      -    715   1189      0      0   3809      2      0      0      0      0      2     77 
    0     66     76      -     15      5      0      0      -      -    715   1189      0      0   2849      2      0      -      -      0     30      7 
    1     43     62      -     13      5      0      0      -      -    715   1189      0      0  10511      2      0      -      -      0     68      3 
    2     46     62      -     11      4      0      0      -      -    715   1189      0      0  10511      2      0      0      0      0      8      4 
    3     39     57      -     15      5      0      0      -      -    715   1189      0      0   3809      2      0      0      0      0     90     57 
