# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     53      5      0      0      -      -    715   1328      0      0   2945      2      0      -      -      0   1933     12 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0    114     77      -     61      9      0      0      -      -    715   1328      0      0   2945      2      0      -      -      0   4277    579 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     62     78      -     63      7      0      0      -      -    715   1328      0      0   2945      2      0      -      -      0   5096    582 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0   2945      2      0      -      -      0      0      0 
    1    179     65      -     91     17      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0     13    791 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     58     78      -     46      3      0      0      -      -    715   1328      0      0   2945      2      0      -      -      0   4936    460 
    1     49     64      -      1      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0    922      6 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      1 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     58     78      -     52      5      0      0      -      -    715   1328      0      0   2945      2      0      -      -      0   5046    594 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2    134     62      -      0      0      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     58     78      -     44      5      0      0      -      -    715   1328      0      0   2945      2      0      -      -      0   2084    138 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     37     56      -     17      3      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0     43 
    0    106     78      -     42      3      0      0      -      -    715   1328      0      0   2945      2      0      -      -      0   2334    565 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     61      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     37     56      -     17      3      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0     42 
    0     62     79      -     39      4      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   4920    560 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0   1728 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     70     33 
    3     50     56      -     17      3      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    153     54 
    0     88     78      -     14      5      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0      0      0 
    1     46     63      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     24     15 
    2     74     61      -     13      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      6      8 
    3     61     56      -     17      6      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     59     78      -     12      4      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0     50     17 
    1     75     63      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     54      6 
    2     67     61      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     13 
    3     39     56      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    105     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     74     78      -     13      5      0      0      -      -    715   1189      0      0   2947      2      0      -      -      0      0     22 
    1     43     63      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     82     19 
    2     57     61      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     39      2 
    3     40     57      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     91     11 
    0     49     78      -     13      4      0      0      -      -    715   1189      0      0   2947      2      0      -      -      0     80     10 
    1     70     63      -     14      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     18 
    2     47     61      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     47     19 
    3     52     57      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     23      9 
