kv,ub,metric,phase,n,mean,stdev,min,max,median,surpass_phase_d,surpass_phase_s
f16,1586,eval_tps,warmup,2,14.5016,0.0906,14.4375,14.5657,14.5016,no,no
f16,1586,eval_tps,eval,5,14.4250,0.0033,14.4220,14.4296,14.4232,no,no
f16,1586,prompt_tps,warmup,2,10.4886,0.1263,10.3993,10.5780,10.4886,no,no
f16,1586,prompt_tps,eval,5,68.9631,0.0720,68.8828,69.0575,68.9523,no,no
f16,1664,eval_tps,warmup,2,14.5911,0.0051,14.5875,14.5947,14.5911,no,no
f16,1664,eval_tps,eval,5,14.5706,0.0027,14.5676,14.5735,14.5696,no,no
f16,1664,prompt_tps,warmup,2,10.4281,0.1029,10.3553,10.5009,10.4281,no,no
f16,1664,prompt_tps,eval,5,68.7842,0.0845,68.6732,68.8708,68.8125,no,no
q8_0,1586,eval_tps,warmup,2,15.1077,0.0046,15.1045,15.1110,15.1077,no,no
q8_0,1586,eval_tps,eval,5,15.0162,0.0047,15.0110,15.0224,15.0175,no,no
q8_0,1586,prompt_tps,warmup,2,10.5751,0.0721,10.5241,10.6261,10.5751,no,no
q8_0,1586,prompt_tps,eval,5,68.2041,0.1358,67.9618,68.2793,68.2573,no,no
q8_0,1664,eval_tps,warmup,2,14.3085,0.0082,14.3027,14.3143,14.3085,no,no
q8_0,1664,eval_tps,eval,5,14.2451,0.0068,14.2379,14.2543,14.2425,no,no
q8_0,1664,prompt_tps,warmup,2,10.5195,0.0985,10.4498,10.5891,10.5195,no,no
q8_0,1664,prompt_tps,eval,5,68.6918,0.0793,68.5838,68.7567,68.7361,no,no
q4_0,1586,eval_tps,warmup,2,14.8429,0.0097,14.8360,14.8497,14.8429,no,no
q4_0,1586,eval_tps,eval,5,14.7441,0.0027,14.7412,14.7473,14.7437,no,no
q4_0,1586,prompt_tps,warmup,2,10.4765,0.0294,10.4558,10.4973,10.4765,no,no
q4_0,1586,prompt_tps,eval,5,67.9276,0.0971,67.8290,68.0545,67.9090,no,no
q4_0,1664,eval_tps,warmup,2,14.1678,0.0015,14.1667,14.1688,14.1678,no,no
q4_0,1664,eval_tps,eval,5,14.0780,0.0053,14.0710,14.0834,14.0795,no,no
q4_0,1664,prompt_tps,warmup,2,10.4798,0.1168,10.3973,10.5624,10.4798,no,no
q4_0,1664,prompt_tps,eval,5,68.2459,0.0866,68.1203,68.3626,68.2548,no,no
q4_1,1586,eval_tps,warmup,2,15.0488,0.0057,15.0448,15.0529,15.0488,no,no
q4_1,1586,eval_tps,eval,5,14.9649,0.0035,14.9606,14.9702,14.9647,no,no
q4_1,1586,prompt_tps,warmup,2,10.4358,0.1470,10.3318,10.5397,10.4358,no,no
q4_1,1586,prompt_tps,eval,5,67.7599,0.1388,67.5193,67.8717,67.8018,no,no
q4_1,1664,eval_tps,warmup,2,14.9952,0.0053,14.9915,14.9990,14.9952,no,no
q4_1,1664,eval_tps,eval,5,14.9106,0.0025,14.9080,14.9145,14.9096,no,no
q4_1,1664,prompt_tps,warmup,2,10.3674,0.0719,10.3165,10.4182,10.3674,no,no
q4_1,1664,prompt_tps,eval,5,67.9578,0.0814,67.8291,68.0414,67.9843,no,no
