# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     61     76      -     43      3      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   4836    550 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  10497      2      0      -      -      0      0      0 
    2     51     61      -      0      0      0      0      -      -    715   1328      0      0  10497      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3741      2      0      0      0      0      0      0 
    0     67     76      -     43      3      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   4988    572 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  10497      2      0      -      -      0      0      1 
    2     51     60      -      0      0      0      0      -      -    715   1328      0      0  10497      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3741      2      0      0      0      0      0      0 
    0     56     76      -     41      2      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   3502    565 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  10605      2      0      -      -      0      0      0 
    2     62     61      -      2      1      0      0      -      -    715   1328      0      0  10605      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3741      2      0      0      0      0      0     59 
    0     73     76      -     43      3      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   4954    480 
    1     44     63      -      0      0      0      0      -      -    715   1189      0      0  10605      2      0      -      -      0      0      0 
    2     52     60      -      0      0      0      0      -      -    715   1328      0      0  10605      2      0      0      0      0      0     73 
    3     36     55      -      2      1      0      0      -      -    715   1189      0      0   3849      2      0      0      0      0      0      0 
    0     85     76      -     10      4      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0      6      0 
    1     46     63      -     11      4      0      0      -      -    715   1189      0      0  10605      2      0      -      -      0     67      5 
    2     45     61      -     16      6      0      0      -      -    715   1189      0      0  10605      2      0      0      0      0     69      7 
    3     38     55      -     12      4      0      0      -      -    715   1189      0      0   3849      2      0      0      0      0     88     15 
