# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    105     76      -     61      7      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   4634  10686 
    1     69     68      -      0      0      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0      0    225 
    3     36     51      -      0      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0   4389   1485 
    0     57     76      -     66     10      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   5040    320 
    1     45     67      -     15      3      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0    515    346 
    3     36     51      -      0      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0   4721    449 
    0     58     77      -     54      6      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   5037    578 
    1     45     68      -     15      3      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0      0     71 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0   1928   1701 
    3     66     52      -      0      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0   4558     57 
    0     57     77      -     65      9      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   5040    177 
    1     45     68      -     16      3      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0    818    365 
    3     36     52      -      0      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0   4690   1191 
    0     60     77      -     52      5      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   1046    326 
    1    102     68      -     91     17      0      0      -      -    715   1316      0      0  11259      2      0      -      -      0   5842   8790 
    2     68     55      -     15      3      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0      0    192 
    3     36     52      -     11      2      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0   3108    900 
    0     57     77      -     50      4      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   5062    505 
    1     54     69      -      0      0      0      0      -      -    715   1328      0      0  11259      2      0      -      -      0   1439   8036 
    2     69     55      -      0      0      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0   4610     49 
    3     41     52      -     15      3      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0      0      0 
    0     57     77      -     50      5      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   5004   1395 
    1    153     69      -     18      4      0      0      -      -    715   1328      0      0  11259      2      0      -      -      0   1606    792 
    2     41     55      -     15      3      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0      0      0 
    3     35     52      -     13      3      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0      0    191 
    0     57     77      -     53      6      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0    420    237 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0      0    144 
    2     49     56      -      1      0      0      0      -      -    715   1328      0      0  11263      2      0      0      0      0   3360   3181 
    3     59     52      -      3      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0   2771      0 
    0     58     77      -     51      6      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   5030    157 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0      0      0 
    2     48     56      -     12      1      0      0      -      -    715   1328      0      0  11263      2      0      0      0      0    405    166 
    3     36     51      -      0      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0   3342   1335 
    0     58     78      -     48      4      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   4845    196 
    1     45     68      -      3      0      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0   1536   1207 
    2     56     56      -      0      0      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0   1556   7996 
    0     58     78      -     50      6      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   2099    563 
    1     45     68      -     15      3      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0   1017    668 
    2     48     56      -      0      0      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0   3741    603 
    3     50     52      -      0      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     78      -     47      3      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0   4942    584 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0      0    303 
    2     46     56      -      1      0      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0   3688    489 
    3     53     52      -      0      0      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0      0   1849 
    0     66     77      -     15      4      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0     42     22 
    1     52     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     31    104 
    2     47     56      -     18      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0    117     34 
    3     47     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0     35     30 
    0     64     77      -     15      4      0      0      -      -    715   1328      0      0   3445      2      0      -      -      0     31     53 
    1     62     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     40     22 
    2     48     56      -     17      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0    114     34 
    3     47     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0     36     31 
    0     54     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0     31    102 
    1     52     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0    155     29 
    2     51     56      -     18      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0     28     24 
    3     42     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0     39     73 
    0     53     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0    138     52 
    1     61     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     38     33 
    2     52     56      -     17      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0     30     55 
    3     42     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0    101    112 
    0     58     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0     79     28 
    1     54     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     29     22 
    2     47     56      -     17      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0     62     89 
    3     45     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0    103     29 
    0     54     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0     38    101 
    1     52     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0    142     24 
    2     50     56      -     17      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0     30     24 
    3     43     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0     39     85 
    0     53     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0    146     28 
    1     54     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     27     22 
    2     47     56      -     17      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0     93     61 
    3     44     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0     86     28 
    0     55     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0     40     34 
    1     56     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     31     26 
    2     51     56      -     17      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0     31     63 
    3     43     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0    107    109 
    0     57     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0     79     30 
    1     53     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     27     23 
    2     48     56      -     17      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0     83     76 
    3     44     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0    108     27 
    0     56     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0     42     22 
    1     51     68      -     18      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     31    106 
    2     47     56      -     18      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0    116     34 
    3     47     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0     34     64 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0    122     60 
    1     63     68      -     17      4      0      0      -      -    715   1189      0      0  11259      2      0      -      -      0     51     21 
    2     54     56      -     17      4      0      0      -      -    715   1189      0      0  11263      2      0      0      0      0     30     35 
    3     43     52      -     15      4      0      0      -      -    715   1189      0      0   3929      2      0      0      0      0     90    120 
    0     58     77      -     16      4      0      0      -      -    715   1189      0      0   3445      2      0      -      -      0     82     22 
