# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     70      -     44      3      0      0      -      -    715   1328      0      0   3087      2      0      -      -      0   4855    811 
    1     52     64      -      1      0      0      0      -      -    715   1189      0      0  10907      2      0      -      -      0      0    138 
    2     41     50      -      0      0      0      0      -      -    715   1189      0      0  10907      2      0      0      0      0    332      0 
    3     34     47      -      1      0      0      0      -      -    715   1189      0      0   3653      2      0      0      0      0    332      5 
    0     52     70      -     42      2      0      0      -      -    715   1328      0      0   3087      2      0      -      -      0   3699    554 
    1     43     65      -      1      0      0      0      -      -    715   1189      0      0  10907      2      0      -      -      0    330      1 
    2     38     50      -      1      0      0      0      -      -    715   1189      0      0  10907      2      0      0      0      0      0    108 
    3     41     47      -      0      0      0      0      -      -    715   1189      0      0   3697      2      0      0      0      0    373    122 
    0     55     70      -     20      2      0      0      -      -    715   1328      0      0   3199      2      0      -      -      0   3769    528 
    1     50     65      -      8      1      0      0      -      -    715   1316      0      0  11017      2      0      -      -      0    332      0 
    2     44     51      -     12      2      0      0      -      -    715   1316      0      0  11017      2      0      0      0      0    569     45 
    3     34     47      -      3      0      0      0      -      -    715   1189      0      0   3765      2      0      0      0      0      1    137 
    0     55     70      -     44      3      0      0      -      -    715   1328      0      0   3255      2      0      -      -      0   3872    565 
    1     50     65      -      1      0      0      0      -      -    715   1316      0      0  11073      2      0      -      -      0    372    138 
    2     47     51      -      1      0      0      0      -      -    715   1316      0      0  11073      2      0      0      0      0      0    138 
    3     41     47      -      5      1      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     65     70      -     15      4      0      0      -      -    715   1328      0      0   3255      2      0      -      -      0    146     32 
    1     67     66      -     16      4      0      0      -      -    715   1316      0      0  11073      2      0      -      -      0     30     34 
    2     54     51      -     17      4      0      0      -      -    715   1316      0      0  11073      2      0      0      0      0     39     86 
    3     41     47      -     15      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    145     83 
    0     62     71      -     15      4      0      0      -      -    715   1328      0      0   3255      2      0      -      -      0     40     22 
    1     58     66      -     16      4      0      0      -      -    715   1316      0      0  11073      2      0      -      -      0     29    102 
    2     51     52      -     16      4      0      0      -      -    715   1316      0      0  11073      2      0      0      0      0    123     33 
    3     46     47      -     15      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     37     31 
    0     49     70      -     16      4      0      0      -      -    715   1189      0      0   3255      2      0      -      -      0     83     85 
    1     71     66      -     16      4      0      0      -      -    715   1316      0      0  11073      2      0      -      -      0     91     21 
