# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     97     77      -     53      5      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0    312    591 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     95     78      -     58      6      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   5127    588 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     57     77      -     62      7      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   3528     12 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     58     78      -     57      6      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   5152    591 
    1     41     62      -      1      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     18     95 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     57     77      -     49      4      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   3733     10 
    1     49     63      -     19      4      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0    251    118 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0    112     77      -     18      0      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   3194    581 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0      0 
    2     51     60      -      6      1      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     57     78      -     48      3      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   1306    738 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     51     60      -      1      0      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0     70    171 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     18     63 
    0     83     78      -     58      6      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0    581    588 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      1      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    115    150 
    0     94     78      -     47      3      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0     26    380 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3    111     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      7   1843 
    0     58     78      -     10      4      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0     58     15 
    1     73     63      -     16      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     45     10 
    2     69     60      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0     17 
    3     40     55      -     14      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     64      0 
    0     80     78      -      9      4      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0     48     18 
    1     73     63      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     14     11 
    2     72     60      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     55      7 
    3     61     55      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     89     58 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     78      -     10      3      0      0      -      -    715   1189      0      0   2947      2      0      -      -      0     90      8 
    1     69     63      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     63      5 
    2     44     60      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     10 
