# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     59     76      -     44      3      0      0      -      -    715   1328      0      0   2897      2      0      -      -      0   3842    581 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      -      -      0      0      0 
    2     49     60      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     61     76      -     46      3      0      0      -      -    715   1328      0      0   2897      2      0      -      -      0   4884    572 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      -      -      0     49     81 
    2     49     60      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     59     76      -     44      3      0      0      -      -    715   1328      0      0   2897      2      0      -      -      0   3881    577 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0      0      0 
    2     51     60      -      2      1      0      0      -      -    715   1328      0      0  10537      2      0      0      0      0     77     46 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0    271     46 
    0     65     77      -     42      2      0      0      -      -    715   1328      0      0   2897      2      0      -      -      0   4766    394 
    1     41     63      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0     14 
    2     51     60      -      0      0      0      0      -      -    715   1328      0      0  10537      2      0      0      0      0     44     40 
    3     41     55      -      4      1      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0    170     59 
    0     56     77      -     10      4      0      0      -      -    715   1328      0      0   2897      2      0      -      -      0    118     22 
    1     43     63      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     82     18 
    2     46     60      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     46     19 
    3     51     55      -     18      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     31      8 
    0     63     77      -      9      4      0      0      -      -    715   1328      0      0   2897      2      0      -      -      0     90      0 
    1     48     63      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0     16 
    2     44     60      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     54     19 
    3     47     55      -     13      4      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      8     76 
    0     49     76      -     15      5      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0     50     17 
    1     73     63      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     44     10 
    2     72     60      -     13      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      4 
    3     77     55      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0    105     54 
    0     47     76      -     11      4      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0    103      0 
    1     55     63      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      2     16 
    2     73     60      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     10 
    3     38     55      -     15      5      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0    106     18 
    0     50     77      -     14      5      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0    121      0 
    1     56     63      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     82     18 
    2     48     60      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     46     19 
    3     48     55      -     13      4      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     31      6 
    0     53     76      -     15      5      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0     80     10 
    1     71     63      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     62      6 
    2     64     60      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     19 
    3     44     55      -     16      5      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     41      2 
    0     55     77      -     12      4      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0     54      0 
    1     48     63      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     62      5 
    2     45     60      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85      0 
    3     71     55      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      2     78 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     76      -     15      5      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0     57     16 
    1     75     63      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      6      8 
    2     44     61      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     65     18 
    3     40     55      -     18      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     64     24 
    0     49     77      -     10      3      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0     50     17 
    1     74     63      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     46     10 
    2     71     61      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     71      3 
    3     81     55      -     16      5      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0    105     54 
    0     47     77      -     11      4      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0    108      3 
    1     63     63      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     78      1 
    2     58     61      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     17     17 
    3     54     55      -     13      4      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     23      9 
    0     54     77      -     10      3      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0     79      0 
    1     48     63      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     70      6 
    2     45     61      -     17      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     11 
    3     38     56      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0    103      0 
    0     54     77      -     14      5      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0     70      0 
    1     52     63      -     13      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     38     12 
    2     73     61      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      6 
    3     66     55      -     18      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      7     11 
    0     53     77      -     12      4      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0     82      9 
    1     72     63      -     16      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     63      5 
    2     61     61      -     16      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     14 
    3     38     55      -     17      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     95      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2897      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
