# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     61      7      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   5152    453 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0   1685   1671 
    2     76     59      -      0      0      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0   4294    115 
    3     43     54      -      0      0      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0      0      0 
    0    112     77      -     52      5      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   3426    582 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0   1336    360 
    2     45     59      -      0      0      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0   3125      0 
    3     41     54      -      3      0      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0      0      0 
    0     57     77      -     59      6      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   3630    534 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0   3647   1360 
    2     69     59      -      0      0      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0   2517      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0      0      0 
    0     57     77      -     53      5      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   3093   1670 
    1     45     64      -      0      0      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0   4690    722 
    2     61     59      -      8      2      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0      0      0 
    3     36     54      -     16      3      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0      0    288 
    0    123     78      -     55      6      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   3743    255 
    1     87     64      -     33      6      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0     35     68 
    2     43     59      -     15      3      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0    468    371 
    3     37     54      -     12      2      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0   4705    642 
    0     63     78      -     30      3      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   5085    580 
    1     51     65      -     10      1      0      0      -      -    715   1328      0      0  11191      2      0      -      -      0      0      0 
    2     43     59      -      3      0      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0   1738    714 
    3     48     54      -      0      0      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0   3003      0 
    0     59     78      -     47      4      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   5041    569 
    1     51     65      -     28      5      0      0      -      -    715   1328      0      0  11191      2      0      -      -      0      0     17 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0   2289   3161 
    3     60     54      -      0      0      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0   4794     16 
    0     58     78      -     48      4      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   4421    591 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0   4494    598 
    2     76     61      -     19      4      0      0      -      -    715   1328      0      0  11195      2      0      0      0      0      0      0 
    3     36     54      -     15      3      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0      0    300 
    0     80     78      -     51      6      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   4967    570 
    1     43     64      -     16      3      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0   1097    754 
    2     65     60      -      0      0      0      0      -      -    715   1328      0      0  11195      2      0      0      0      0   4253   7312 
    3     50     55      -      0      0      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0      0    125 
    0    114     79      -     51      6      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   5001    573 
    1     43     64      -      6      1      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0    728    450 
    2     46     60      -      0      0      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0   2873   1287 
    3     68     55      -      0      0      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0      0      0 
    0     59     78      -     51      6      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0   5021    392 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0    551    436 
    2     47     59      -      0      0      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0   2834   1310 
    3     71     55      -      1      0      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     92     79      -     56      6      0      0      -      -    715   1328      0      0   3455      2      0      -      -      0      0    128 
    1     47     64      -     17      3      0      0      -      -    715   1189      0      0  11191      2      0      -      -      0     60    248 
    2     49     59      -      9      1      0      0      -      -    715   1189      0      0  11195      2      0      0      0      0    201    209 
    3     43     55      -     26      4      0      0      -      -    715   1189      0      0   3863      2      0      0      0      0    269     22 
