# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     75      -     43      3      0      0      -      -    715   1328      0      0   3097      2      0      -      -      0   4612    566 
    1     51     65      -      1      0      0      0      -      -    715   1328      0      0  10847      2      0      -      -      0    337      0 
    2     49     58      -      0      0      0      0      -      -    715   1328      0      0  10847      2      0      0      0      0      0      0 
    3     36     53      -      1      0      0      0      -      -    715   1189      0      0   3593      2      0      0      0      0      0     29 
    0     58     76      -     43      2      0      0      -      -    715   1328      0      0   3097      2      0      -      -      0   5032    429 
    1     51     65      -      1      0      0      0      -      -    715   1328      0      0  10847      2      0      -      -      0    280    666 
    2     50     58      -      1      0      0      0      -      -    715   1328      0      0  10891      2      0      0      0      0      0    139 
    3     40     53      -      0      0      0      0      -      -    715   1189      0      0   3637      2      0      0      0      0    379    140 
    0     59     76      -     36      3      0      0      -      -    715   1328      0      0   3209      2      0      -      -      0   4600    568 
    1     60     65      -      9      2      0      0      -      -    715   1328      0      0  10949      2      0      -      -      0      0     77 
    2     62     58      -      2      0      0      0      -      -    715   1328      0      0  10949      2      0      0      0      0    566     46 
    3     36     53      -      1      0      0      0      -      -    715   1189      0      0   3705      2      0      0      0      0    378    140 
    0     72     76      -     44      3      0      0      -      -    715   1328      0      0   3265      2      0      -      -      0   5034    439 
    1     51     65      -      3      0      0      0      -      -    715   1328      0      0  11005      2      0      -      -      0      0    140 
    2     57     58      -      2      0      0      0      -      -    715   1328      0      0  11005      2      0      0      0      0    142     62 
    3     38     53      -      2      0      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0      0      1 
    0     67     76      -     15      4      0      0      -      -    715   1328      0      0   3265      2      0      -      -      0     66     21 
    1     49     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     28     98 
    2     48     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0    135     22 
    3     43     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     41     41 
    0     66     76      -     14      3      0      0      -      -    715   1328      0      0   3265      2      0      -      -      0     45     21 
    1     50     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     71     96 
    2     61     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     68     32 
    3     45     54      -     14      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     39     28 
    0     56     76      -     16      4      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     79     27 
    1     51     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     28     32 
    2     48     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     40    113 
    3     42     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0    151     28 
    0     58     76      -     16      4      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0    153     31 
    1     57     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     32     32 
    2     52     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     30     64 
    3     43     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0    116    110 
    0     54     76      -     15      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     30     71 
    1     51     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0    108     63 
    2     58     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     41     33 
    3     44     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     40     27 
    0     56     76      -     16      4      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     58     21 
    1     49     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     30     98 
    2     48     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0    127     22 
    3     43     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     42     42 
    0     56     76      -     15      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     45     23 
    1     49     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     55    107 
    2     56     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     82     32 
    3     45     54      -     14      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     37     29 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     76      -     16      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0    130     30 
    1     56     65      -     15      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     28     32 
    2     51     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     36     76 
    3     43     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0    126     25 
    0     52     76      -     16      4      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0    123     70 
    1     63     66      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     68     20 
    2     49     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     28     26 
    3     43     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0    154     79 
    0     53     76      -     16      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     27     92 
    1     50     66      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0    167     26 
    2     53     58      -     15      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     28     20 
    3     42     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     44     51 
    0     55     76      -     16      4      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     43     60 
    1     52     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     85     21 
    2     51     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     27     23 
    3     43     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     38     73 
    0     55     76      -     15      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     41     21 
    1     49     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     28     90 
    2     48     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0    150     21 
    3     50     54      -     14      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     30     27 
    0     58     76      -     16      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0    159     33 
    1     58     66      -     15      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     33     32 
    2     53     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     29     56 
    3     43     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0    104    117 
    0     54     76      -     15      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     29     70 
    1     51     66      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0    112     64 
    2     58     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     41     25 
    3     42     54      -     14      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     34     30 
    0     56     76      -     15      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0    117     31 
    1     55     66      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     28     32 
    2     50     58      -     16      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     40     81 
    3     42     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0    148     28 
    0     52     76      -     16      4      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0    125     68 
    1     63     66      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0     65     20 
    2     50     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     27     28 
    3     43     54      -     15      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     50     97 
    0     54     76      -     15      3      0      0      -      -    715   1189      0      0   3265      2      0      -      -      0     39     93 
    1     51     65      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      -      -      0    158     30 
    2     53     58      -     17      4      0      0      -      -    715   1189      0      0  11005      2      0      0      0      0     27     26 
    3     42     54      -     14      3      0      0      -      -    715   1189      0      0   3751      2      0      0      0      0     84    132 
