# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    166     77      -     53      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     16    582 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     58     78      -     61     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   3261     10 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     58     78      -     61     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   1552     10 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0      0 
    1    117     65      -     91     19      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0     45      5 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     57     78      -     50      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     44    471 
    1     49     63      -     19      4      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0     16 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0    874      7 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     57     77      -     58      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     51    736 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     51     59      -      1      0      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0     72 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     62     78      -     55      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4925    560 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     50     59      -      0      0      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0      0 
    3     47     54      -     17      3      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     59     78      -     49      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4971    576 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     37     54      -     21      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0     72 
    0     56     78      -      8      2      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     66     14 
    1     73     62      -     12      3      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      6      4 
    2     43     58      -     16      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     77      2 
    3     74     54      -      9      3      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0     60 
    0     86     78      -     11      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0     14 
    1     42     62      -     14      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     78      2 
    2     59     59      -     15      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     79      4 
    3     38     54      -     19      6      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     91     57 
    0     71     78      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     90      8 
    1     70     62      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     54      7 
    2     66     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0     12 
    3     37     54      -     15      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    103     12 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     77      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    114      1 
    1     62     63      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     22      0 
    2     43     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     13 
    3     57     54      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      1     11 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     82      0 
    1     48     63      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     46      8 
    2     71     59      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0     13 
    3     38     54      -     15      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    103     16 
    0     49     77      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     42     19 
    1     75     62      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     22      1 
    2     43     59      -     12      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     14      2 
    3     38     54      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     31      1 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     66     13 
    1     70     62      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     45     10 
    2     72     59      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     38     12 
    3     54     54      -     16      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      7     71 
    0     66     77      -     10      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     33      0 
    1     48     63      -     13      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     40     11 
    2     71     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      7 
    3     38     55      -     17      6      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    105     54 
    0     68     77      -     14      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     14      0 
    1     47     63      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     63      5 
    2     65     59      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     71      3 
    3     80     54      -     16      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     98     56 
    0     69     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     14      0 
    1     47     62      -     12      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     70      4 
    2     63     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     79      5 
    3     38     55      -     19      6      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     99     55 
    0     61     77      -     14      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     48      0 
    1     43     63      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     38      0 
    2     44     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     55      6 
    3     61     55      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     74     61 
    0     56     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     63      0 
    1     51     63      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     28     14 
    2     72     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     31     13 
    3     53     54      -     18      6      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      9      8 
    0     48     77      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    107      3 
    1     60     62      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     78      2 
    2     61     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     14      2 
    3     39     55      -     14      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     74      1 
    0     50     77      -     13      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      2     27 
    1     50     62      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     44     19 
    2     52     59      -     13      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     40     19 
    3     42     55      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     47     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      6      0 
    1     45     63      -     13      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     79      1 
    2     60     59      -     12      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
