# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     76      -     45      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5018    580 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      -      -      0      0      0 
    2     48     59      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     58     76      -     41      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4989    431 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  10511      2      0      -      -      0     66    245 
    2     48     58      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     58     76      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3807    579 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0      0      0 
    2     50     59      -      3      1      0      0      -      -    715   1328      0      0  10537      2      0      0      0      0      0      0 
    3     44     54      -      6      2      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     75     48 
    0     55     76      -     28      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    166     45 
    1     47     63      -      2      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     97     11 
    2     98     59      -      2      0      0      0      -      -    715   1328      0      0  10537      2      0      0      0      0     46     15 
    3     38     54      -      2      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0    165     58 
    0     85     77      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    106      4 
    1     64     63      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     62      5 
    2     63     59      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     14 
    3     38     54      -     18      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     72     24 
    0     48     76      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    110      0 
    1     55     64      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     29     14 
    2     71     59      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     71      3 
    3     80     54      -     18      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0     54 
    0     69     76      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     14      0 
    1     47     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     85     13 
    2     43     59      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     61     19 
    3     44     54      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     47     76 
    0     47     76      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    118      0 
    1     57     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     82      0 
    2     53     59      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     38     11 
    3     59     54      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0     18 
    0     48     76      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     88      8 
    1     66     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0     19 
    2     54     59      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     46     17 
    3     53     54      -     13      4      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     50     68 
    0     56     76      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     70      0 
    1     52     64      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     43     10 
    2     71     59      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     16 
    3     37     54      -     16      5      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     66     54 
    0     70     76      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     46     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     82     19 
    2     50     59      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     46      0 
    3     39     55      -     18      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     82     60 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     60     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     48      0 
    1     50     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     62      6 
    2     65     59      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     13 
    3     38     55      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     95     24 
    0     48     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    115      1 
    1     59     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84     18 
    2     44     59      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     49     19 
    3     50     55      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     31      8 
    0     52     77      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     21 
    1     43     64      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84     18 
    2     49     59      -     17      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     46     19 
    3     53     55      -     14      5      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     23      9 
    0     49     77      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     42     19 
