threads,kv,split_mode,ub,metric,phase,n,mean,stdev,min,max,median,surpass_phase_d,surpass_phase_s,surpass_phase_t1_q8,surpass_phase_t2
24,q8_0,layer,1586,eval_tps,warmup,2,14.1005,0.0089,14.0942,14.1068,14.1005,no,no,no,no
24,q8_0,layer,1586,eval_tps,eval,5,14.0245,0.0169,14.0047,14.0483,14.0227,no,no,no,no
24,q8_0,layer,1586,prompt_tps,warmup,2,11.0118,0.0299,10.9906,11.0330,11.0118,no,no,no,no
24,q8_0,layer,1586,prompt_tps,eval,5,68.3608,0.0664,68.2671,68.4532,68.3582,no,no,no,no
28,q8_0,layer,1586,eval_tps,warmup,2,14.5379,0.0098,14.5309,14.5448,14.5379,no,no,no,no
28,q8_0,layer,1586,eval_tps,eval,5,14.4528,0.0062,14.4440,14.4607,14.4517,no,no,no,no
28,q8_0,layer,1586,prompt_tps,warmup,2,11.0868,0.0235,11.0702,11.1035,11.0868,no,no,no,no
28,q8_0,layer,1586,prompt_tps,eval,5,68.7339,0.1222,68.5185,68.8181,68.7758,no,no,no,no
32,q8_0,layer,1586,eval_tps,warmup,2,14.9522,0.0076,14.9468,14.9575,14.9522,no,no,no,no
32,q8_0,layer,1586,eval_tps,eval,5,14.8597,0.0023,14.8566,14.8631,14.8595,no,no,no,yes
32,q8_0,layer,1586,prompt_tps,warmup,2,11.0209,0.1088,10.9440,11.0978,11.0209,no,no,no,no
32,q8_0,layer,1586,prompt_tps,eval,5,68.8361,0.1193,68.6554,68.9681,68.8698,no,no,no,no
36,q8_0,layer,1586,eval_tps,warmup,2,14.6250,0.0009,14.6244,14.6257,14.6250,no,no,no,no
36,q8_0,layer,1586,eval_tps,eval,5,14.5513,0.0025,14.5480,14.5545,14.5508,no,no,no,no
36,q8_0,layer,1586,prompt_tps,warmup,2,10.9559,0.0282,10.9359,10.9758,10.9559,no,no,no,no
36,q8_0,layer,1586,prompt_tps,eval,5,68.1551,0.1015,67.9903,68.2480,68.1633,no,no,no,no
40,q8_0,layer,1586,eval_tps,warmup,2,14.9992,0.1870,14.8670,15.1315,14.9992,no,no,no,no
40,q8_0,layer,1586,eval_tps,eval,5,14.7809,0.0021,14.7776,14.7832,14.7814,no,no,no,yes
40,q8_0,layer,1586,prompt_tps,warmup,2,10.9410,0.1028,10.8683,11.0137,10.9410,no,no,no,no
40,q8_0,layer,1586,prompt_tps,eval,5,68.2456,0.0304,68.1944,68.2701,68.2508,no,no,no,no
