threads	kv	split_mode	ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
24	q8_0	layer	1586	warmup	1	14.094165764126206	10.990632111500117	71	256
24	q8_0	layer	1586	warmup	2	14.106780170407701	11.032960113673676	71	256
24	q8_0	layer	1586	eval	1	14.048300361441914	68.45319046091001	1092	256
24	q8_0	layer	1586	eval	2	14.013784308590537	68.37479682447908	1092	256
24	q8_0	layer	1586	eval	3	14.032908156315415	68.35815969818245	1092	256
24	q8_0	layer	1586	eval	4	14.004737211773893	68.26709664101503	1092	256
24	q8_0	layer	1586	eval	5	14.022704840632233	68.35068055245377	1092	256
28	q8_0	layer	1586	warmup	1	14.530928570609584	11.070201605522254	71	256
28	q8_0	layer	1586	warmup	2	14.544805814058861	11.103472478088626	71	256
28	q8_0	layer	1586	eval	1	14.451703226370972	68.51847680414264	1092	256
28	q8_0	layer	1586	eval	2	14.460730277046693	68.81811504536039	1092	256
28	q8_0	layer	1586	eval	3	14.44398717689901	68.7949245977387	1092	256
28	q8_0	layer	1586	eval	4	14.45620717913319	68.76202784509502	1092	256
28	q8_0	layer	1586	eval	5	14.451570247784591	68.77576926359228	1092	256
32	q8_0	layer	1586	warmup	1	14.946826955037666	10.943971490183566	71	256
32	q8_0	layer	1586	warmup	2	14.957549481297308	11.097826717283176	71	256
32	q8_0	layer	1586	eval	1	14.863087163065135	68.65539293141175	1092	256
32	q8_0	layer	1586	eval	2	14.860194305167209	68.86975896088903	1092	256
32	q8_0	layer	1586	eval	3	14.859100609983493	68.96808710189403	1092	256
32	q8_0	layer	1586	eval	4	14.859532721097368	68.89630330323074	1092	256
32	q8_0	layer	1586	eval	5	14.856571409735418	68.79082486624532	1092	256
36	q8_0	layer	1586	warmup	1	14.624436473618774	10.935924110231651	71	256
36	q8_0	layer	1586	warmup	2	14.62565966866939	10.975794508392617	71	256
36	q8_0	layer	1586	eval	1	14.548001272268172	67.99026867487838	1092	256
36	q8_0	layer	1586	eval	2	14.55076143964097	68.24804213429127	1092	256
36	q8_0	layer	1586	eval	3	14.55022387736071	68.1462643490946	1092	256
36	q8_0	layer	1586	eval	4	14.554514730874514	68.16325373921015	1092	256
36	q8_0	layer	1586	eval	5	14.552844248241282	68.2274508275015	1092	256
40	q8_0	layer	1586	warmup	1	15.131486708762147	10.86828238736671	71	256
40	q8_0	layer	1586	warmup	2	14.866984336180147	11.013692501738534	71	256
40	q8_0	layer	1586	eval	1	14.783230203941011	68.19436192496447	1092	256
40	q8_0	layer	1586	eval	2	14.781447920195424	68.24593510149052	1092	256
40	q8_0	layer	1586	eval	3	14.780259116417634	68.27006713285786	1092	256
40	q8_0	layer	1586	eval	4	14.78186443078649	68.26691312772739	1092	256
40	q8_0	layer	1586	eval	5	14.777617635608888	68.25077635258101	1092	256
