# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     61     10      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   4760      9 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     62     78      -     62     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5102    570 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     58     78      -     52      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5096    351 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     57     78      -     45      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   2409     10 
    1     48     73      -     19      4      0      0      -      -    715   1189      0      0  10541      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     58     78      -     50      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5065    665 
    1     59     75      -      0      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0     60 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0    447 
    1     57     74      -      0      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0      0 
    2     47     55      -     43      9      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0     94    160 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     58     78      -     44      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4907    740 
    1     48     74      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     46     54      -      0      0      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0      0 
    3     85     51      -      0      0      0      0      -      -    715   1189      0      0   3785      2      0      0      0      0      0     74 
    0     66     79      -     52      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4945    567 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
