# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     72     75      -     46      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5016    439 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      -      -      0      0      0 
    2     38     51      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     78     75      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4877    562 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      -      -      0      0    110 
    2     38     52      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     74     75      -     42      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5010    446 
    1     55     73      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     44     52      -      3      1      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0     19 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     71     76      -     42      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5005    451 
    1     55     73      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     44     52      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0      0 
    3     35     48      -      3      1      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     59     76      -     13      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     39      0 
    1     69     74      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     46      9 
    2     73     53      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     85     17 
    3     42     49      -     17      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     48      7 
    0     85     76      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    121      0 
    1     77     74      -     11      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      2     18 
    2     81     53      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     77      2 
    3     77     49      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      1     78 
    0     58     76      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     50     17 
    1     96     74      -     11      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0     12 
    2     45     52      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     64     19 
    3     47     49      -     13      4      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     32      9 
    0     69     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      7      0 
    1     61     75      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     84      0 
    2     61     53      -     11      4      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     30     19 
    3     50     49      -     18      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     17      0 
    0     47     76      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    121      0 
    1     60     74      -     14      5      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     23     15 
    2     80     53      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     63      5 
    3     77     49      -     17      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      2     24 
    0     62     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      5 
    1     58     75      -     12      5      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     62      5 
    2     69     53      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     85     19 
    3     42     49      -     18      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     49     73 
    0     56     76      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     66     14 
    1     99     74      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0     16 
    2     45     53      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     51     19 
    3     50     49      -     15      5      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     15      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     76      -     11      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    121     23 
    1     57     75      -     11      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     60     19 
    2     79     53      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     22      8 
    3     37     49      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0    106     54 
    0     50     76      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     42     19 
    1     95     75      -     11      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     14      9 
    2     46     53      -     11      4      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     85     19 
    3     45     49      -     19      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     47     71 
    0     67     76      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    121      0 
    1     75     75      -     13      5      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     24     15 
    2     81     53      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0     14 
    3     36     49      -     17      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     66     55 
    0     50     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      2     28 
    1     80     75      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     38      5 
    2     46     53      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     85     18 
    3     39     49      -     15      5      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     64      1 
    0     65     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     37      0 
    1     64     75      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     62      5 
    2     68     53      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     85     19 
    3     48     49      -     17      6      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     34      9 
    0     68     76      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     57     75      -     12      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     45     53      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     44     53      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     56     74      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     44     53      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0      0      0 
