# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     77      -     52      5      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   4324     10 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     59     78      -     52      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5061    468 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     59     78      -     63     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5040    636 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     57     78      -     59      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5040    199 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10541      2      0      -      -      0    904      6 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     84     78      -     48      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0    316    573 
    1     50     65      -      1      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0     84 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0    169 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0      0 
    2     51     60      -     46     10      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0    271    125 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0    101     78      -     53      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4964    570 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     51     59      -     20      5      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0     34 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0    784      7 
    0     58     78      -     57      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     49    738 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -     22      5      0      0      -      -    715   1189      0      0   9387      2      0      0      0      0      0      1 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0    426 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     11 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     34      8 
    3     68     55      -      5      1      0      0      -      -    715   1328      0      0   9399      2      0      0      0      0      9     74 
    0     81     78      -     14      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     30      0 
    1     49     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85     11 
    2     43     59      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     66      0 
    3     72     55      -     18      6      0      0      -      -    715   1328      0      0   9399      2      0      0      0      0     50      3 
    0     49     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    107      4 
    1     66     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     19 
    2     66     59      -     15      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     30     15 
    3     55     55      -     13      4      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     58     62 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     71      0 
    1     53     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     44     19 
    2     73     59      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     22     13 
    3     56     55      -     17      6      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0     13 
    0     50     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     58     15 
    1     74     65      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      6      8 
    2     44     59      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     15 
    3     38     55      -     19      6      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     54      0 
    0     53     78      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      6 
    1     68     64      -     15      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     79      1 
    2     60     59      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     16 
    3     38     55      -     20      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     48     17 
    0     50     78      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     58     16 
    1     74     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      6      8 
    2     44     59      -     15      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     70     17 
    3     38     55      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     46     74 
    0     49     78      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     91      7 
    1     70     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     16 
    2     43     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     52      0 
    3     40     55      -     18      6      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     58     60 
    0     56     78      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     71      0 
    1     54     64      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     38     12 
    2     73     59      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     62      6 
    3     86     55      -     20      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0     15 
    0     50     78      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     50     18 
    1     75     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     46      9 
    2     70     59      -     15      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     76      2 
    3     83     55      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     88      0 
    0     65     78      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     46      0 
    1     50     65      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     60      5 
    2     44     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     11 
    3     38     55      -     16      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     86     19 
    0     49     78      -     14      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     82     10 
    1     68     65      -     13      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      6      8 
    2     44     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     15 
    3     38     55      -     14      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     54     19 
    0     49     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     89      8 
    1     73     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     15      7 
    2     44     59      -     15      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85      3 
    3     81     55      -     20      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     88     54 
    0     67     78      -     13      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     30      0 
    1     48     65      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     79      1 
