# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     76      -     46      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4006    565 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     78     77      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4988    554 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      2     12 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     59     77      -     43      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3787    570 
    1     49     64      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     47     59      -      3      1      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0      0 
    3     39     53      -      3      1      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     75     51 
    0     78     77      -      6      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     30     14 
    1     44     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84      7 
    2     75     59      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0     19 
    3     44     54      -     19      6      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     29      3 
    0     57     77      -     12      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     90      7 
    1     67     64      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84      0 
    2     58     59      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     19     17 
    3     52     54      -     14      5      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      5     11 
    0     48     77      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     90      7 
    1     69     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0     17 
    2     43     59      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     50     19 
    3     50     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     21     67 
    0     56     77      -     11      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      1 
    1     45     64      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     44     10 
    2     72     59      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     71      2 
    3     81     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     87     56 
    0     69     77      -     13      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     22     15 
    1     44     64      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84     12 
    2     43     59      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     64      0 
    3     58     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     50     63 
    0     65     77      -     13      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     38      0 
    1     49     64      -     13      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     70      3 
    2     63     59      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     68      4 
    3     85     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     87     54 
    0     71     77      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      7 
    1     69     64      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0     17 
    2     46     59      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     50     19 
    3     51     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      8      9 
    0     48     77      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     82     10 
    1     74     64      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     62      4 
    2     64     59      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85      0 
    3     43     55      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     11     71 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     70      0 
    1     52     64      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     42     19 
    2     71     59      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     14     12 
    3     77     54      -     20      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     87     54 
    0     71     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     20 
