# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     93     76      -     61      8      0      0      -      -    715   1316      0      0   2949      2      0      -      -      0   5161    590 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     77     78      -     62      7      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5133    593 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     88     79      -     62     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5152    591 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     72     78      -     43      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5166    588 
    1     41     62      -      8      2      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0      7 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0    107     78      -     43      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0    648    589 
    1     41     62      -      7      2      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     91     78      -     47      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5077    571 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0    400     93 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0    128     78      -     58      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      1    180 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0      0 
    2     52     59      -     19      5      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     58     78      -     39      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     38    463 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -     18      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0     16 
    0    112     78      -     43      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   3316    572 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -     21      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0      0      0 
    0     58     78      -     10      3      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0      4 
    1     41     62      -      3      0      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0     66     12 
    2     70     58      -     10      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      9 
    3     37     54      -      9      3      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    106     54 
    0     86     79      -     12      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0     21 
    1     42     62      -      9      3      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0     15 
    2     43     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     10 
    3     37     54      -     15      5      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0    106     15 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     78      -      9      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    112      3 
    1     62     62      -     13      4      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0     74      9 
    2     69     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     30     19 
    3     47     54      -     19      6      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     39     24 
    0     48     78      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    110      0 
    1     56     62      -     13      5      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0      0     25 
    2     50     59      -     15      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     47     19 
    3     40     54      -     13      4      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     56      0 
    0     51     78      -     13      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    114      2 
    1     62     62      -      9      3      0      0      -      -    715   1189      0      0   2123      2      0      -      -      0     30      0 
    2     48     59      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0     12 
    3     37     54      -     17      6      0      0      -      -    715   1189      0      0   3819      2      0      0      0      0     96     16 
    0     49     78      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     65     14 
