# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     66     76      -     45      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5027    574 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0   4871      2      0      -      -      0      0      0 
    2     48     58      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     57     76      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5020    404 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0   4871      2      0      -      -      0      0      0 
    2     48     58      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     56     76      -     42      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3086    572 
    1     44     63      -      3      1      0      0      -      -    715   1189      0      0   4969      2      0      -      -      0     79     51 
    2     48     58      -      0      0      0      0      -      -    715   1328      0      0  10439      2      0      0      0      0      0    208 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   3683      2      0      0      0      0      0      0 
    0     59     77      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   2477    566 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0   4969      2      0      -      -      0      0      0 
    2     49     58      -      0      0      0      0      -      -    715   1328      0      0  10537      2      0      0      0      0      0      0 
    3     36     53      -      3      1      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0     80     51 
    0     72     77      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     56      0 
    1     49     63      -     12      4      0      0      -      -    715   1189      0      0   4969      2      0      -      -      0      0     12 
    2     43     58      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     10 
    3     37     54      -     15      5      0      0      -      -    715   1189      0      0   3781      2      0      0      0      0    106     16 
