ot_tag,cpu_layers,threads,kv,split_mode,ub,metric,phase,n,mean,stdev,min,max,median,surpass_phase_d,surpass_phase_s,surpass_phase_t1_q8,surpass_phase_t2,surpass_phase_t3_best
A36,36,40,q8_0,layer,1586,eval_tps,warmup,2,15.2856,0.1944,15.1481,15.4230,15.2856,no,no,no,no,no
A36,36,40,q8_0,layer,1586,eval_tps,eval,5,15.0517,0.0032,15.0479,15.0566,15.0513,yes,no,yes,yes,yes
A36,36,40,q8_0,layer,1586,prompt_tps,warmup,2,11.3296,0.0902,11.2658,11.3934,11.3296,no,no,no,no,no
A36,36,40,q8_0,layer,1586,prompt_tps,eval,5,68.6572,0.0883,68.5920,68.8057,68.6299,no,no,no,no,no
A36,36,32,q8_0,layer,1586,eval_tps,warmup,2,14.3854,0.0064,14.3809,14.3900,14.3854,no,no,no,no,no
A36,36,32,q8_0,layer,1586,eval_tps,eval,5,14.2971,0.0028,14.2932,14.3006,14.2967,no,no,no,no,no
A36,36,32,q8_0,layer,1586,prompt_tps,warmup,2,11.3692,0.1018,11.2973,11.4412,11.3692,no,no,no,no,no
A36,36,32,q8_0,layer,1586,prompt_tps,eval,5,68.3484,0.2595,68.1392,68.7407,68.2283,no,no,no,no,no
C40,40,40,q8_0,layer,1586,eval_tps,warmup,2,14.1762,0.0027,14.1742,14.1781,14.1762,no,no,no,no,no
C40,40,40,q8_0,layer,1586,eval_tps,eval,5,14.1035,0.0038,14.0979,14.1075,14.1037,no,no,no,no,no
C40,40,40,q8_0,layer,1586,prompt_tps,warmup,2,9.9863,0.0631,9.9417,10.0309,9.9863,no,no,no,no,no
C40,40,40,q8_0,layer,1586,prompt_tps,eval,5,63.2600,0.0862,63.1724,63.4045,63.2375,no,no,no,no,no
C40,42,32,q8_0,layer,1586,eval_tps,warmup,2,14.0425,0.0029,14.0404,14.0445,14.0425,no,no,no,no,no
C40,42,32,q8_0,layer,1586,eval_tps,eval,5,13.9721,0.0026,13.9683,13.9745,13.9730,no,no,no,no,no
C40,42,32,q8_0,layer,1586,prompt_tps,warmup,2,9.6916,0.1092,9.6143,9.7688,9.6916,no,no,no,no,no
C40,42,32,q8_0,layer,1586,prompt_tps,eval,5,61.9037,0.0716,61.7872,61.9607,61.9227,no,no,no,no,no
B32,32,40,q8_0,layer,1586,eval_tps,warmup,2,15.6408,0.1004,15.5698,15.7118,15.6408,no,no,no,no,no
B32,32,40,q8_0,layer,1586,eval_tps,eval,5,15.4940,0.0050,15.4855,15.4980,15.4953,yes,yes,yes,yes,yes
B32,32,40,q8_0,layer,1586,prompt_tps,warmup,2,12.0218,0.1682,11.9029,12.1408,12.0218,no,no,no,no,no
B32,32,40,q8_0,layer,1586,prompt_tps,eval,5,71.7504,0.1074,71.5715,71.8535,71.7913,no,no,no,no,no
B32,32,32,q8_0,layer,1586,eval_tps,warmup,2,15.1225,0.1825,14.9934,15.2515,15.1225,no,no,no,no,no
B32,32,32,q8_0,layer,1586,eval_tps,eval,5,14.9189,0.0018,14.9168,14.9211,14.9192,no,no,no,yes,yes
B32,32,32,q8_0,layer,1586,prompt_tps,warmup,2,11.9909,0.1869,11.8587,12.1231,11.9909,no,no,no,no,no
B32,32,32,q8_0,layer,1586,prompt_tps,eval,5,71.6204,0.0314,71.5947,71.6593,71.6002,no,no,no,no,no
