ot_tag	cpu_layers	threads	kv	split_mode	ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
A36	36	40	q8_0	layer	1586	warmup	1	15.423030222994123	11.265806192509183	74	256
A36	36	40	q8_0	layer	1586	warmup	2	15.148148597420494	11.39338653942204	74	256
A36	36	40	q8_0	layer	1586	eval	1	15.047861604816822	68.59343431163857	1095	256
A36	36	40	q8_0	layer	1586	eval	2	15.051287261343028	68.80566621887479	1095	256
A36	36	40	q8_0	layer	1586	eval	3	15.050588201679293	68.59199919117819	1095	256
A36	36	40	q8_0	layer	1586	eval	4	15.056608436605885	68.66500001975294	1095	256
A36	36	40	q8_0	layer	1586	eval	5	15.052203216267763	68.62987812712511	1095	256
A36	36	32	q8_0	layer	1586	warmup	1	14.38996524767182	11.29726320745485	74	256
A36	36	32	q8_0	layer	1586	warmup	2	14.380863115810607	11.441180581409874	74	256
A36	36	32	q8_0	layer	1586	eval	1	14.298575822750385	68.48307120369411	1095	256
A36	36	32	q8_0	layer	1586	eval	2	14.296544396773784	68.74072392582731	1095	256
A36	36	32	q8_0	layer	1586	eval	3	14.300613418109156	68.22832049789352	1095	256
A36	36	32	q8_0	layer	1586	eval	4	14.293175929733406	68.15074721226101	1095	256
A36	36	32	q8_0	layer	1586	eval	5	14.296668150318297	68.13922480213023	1095	256
C40	40	40	q8_0	layer	1586	warmup	1	14.174232209248432	9.941729374572523	74	256
C40	40	40	q8_0	layer	1586	warmup	2	14.178102330785872	10.030923711165245	74	256
C40	40	40	q8_0	layer	1586	eval	1	14.101810777165666	63.23605030055315	1095	256
C40	40	40	q8_0	layer	1586	eval	2	14.107479041438681	63.40454619281756	1095	256
C40	40	40	q8_0	layer	1586	eval	3	14.106421044487906	63.17243669472812	1095	256
C40	40	40	q8_0	layer	1586	eval	4	14.103744500090574	63.249671058388806	1095	256
C40	40	40	q8_0	layer	1586	eval	5	14.097943368891908	63.23747091004149	1095	256
C40	42	32	q8_0	layer	1586	warmup	1	14.044526195290674	9.614310251193345	74	256
C40	42	32	q8_0	layer	1586	warmup	2	14.040446797730581	9.768809248158117	74	256
C40	42	32	q8_0	layer	1586	eval	1	13.970582537273895	61.787246029026804	1095	256
C40	42	32	q8_0	layer	1586	eval	2	13.973838027605863	61.92267006481691	1095	256
C40	42	32	q8_0	layer	1586	eval	3	13.96834293329527	61.88822150715736	1095	256
C40	42	32	q8_0	layer	1586	eval	4	13.974511582631997	61.960725953367614	1095	256
C40	42	32	q8_0	layer	1586	eval	5	13.973037168988437	61.95952690534457	1095	256
B32	32	40	q8_0	layer	1586	warmup	1	15.711832231019416	11.902858519728344	74	256
B32	32	40	q8_0	layer	1586	warmup	2	15.569775950924065	12.140756651329939	74	256
B32	32	40	q8_0	layer	1586	eval	1	15.4972808023136	71.57150902284694	1095	256
B32	32	40	q8_0	layer	1586	eval	2	15.495345646080253	71.74307566299937	1095	256
B32	32	40	q8_0	layer	1586	eval	3	15.497953483134774	71.79274751631515	1095	256
B32	32	40	q8_0	layer	1586	eval	4	15.494103948732915	71.79131660750822	1095	256
B32	32	40	q8_0	layer	1586	eval	5	15.48545042124357	71.85350546677218	1095	256
B32	32	32	q8_0	layer	1586	warmup	1	15.251529293481244	11.858708298211258	74	256
B32	32	32	q8_0	layer	1586	warmup	2	14.993385340076921	12.123082709895614	74	256
B32	32	32	q8_0	layer	1586	eval	1	14.921107847960673	71.59799198690966	1095	256
B32	32	32	q8_0	layer	1586	eval	2	14.916839783584622	71.64968525503787	1095	256
B32	32	32	q8_0	layer	1586	eval	3	14.92000255971294	71.60015959969822	1095	256
B32	32	32	q8_0	layer	1586	eval	4	14.917321329240547	71.65933036548091	1095	256
B32	32	32	q8_0	layer	1586	eval	5	14.919233911325435	71.59466825678751	1095	256
