# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     69     77      -     53      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     48      7 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0    129     77      -     52      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     16    346 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     98     79      -     52      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5040    576 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0      0 
    1    123     67      -     92     19      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0     34     10 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     60     78      -     48      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4927    359 
    1     51     65      -      1      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0     73 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     57     78      -     49      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4984    144 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     49     58      -     19      5      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0    214    144 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     91     78      -     39      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4959    555 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     49     58      -      0      0      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0      0 
    3     48     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     87     78      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     21      0 
    1     44     64      -     12      3      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      2     19 
    2     72     58      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      6     16 
    3     45     56      -     11      4      0      0      -      -    715   1328      0      0  14967      2      0      0      0      0     29      7 
    0     81     78      -     10      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     30      0 
    1     49     65      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85     18 
    2     45     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     48      6 
    3     47     56      -     21      8      0      0      -      -    715   1328      0      0  14967      2      0      0      0      0     69     70 
    0     72     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      6      0 
    1     47     65      -     15      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     24     15 
    2     72     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0     15 
    3     38     55      -     21      7      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      9     67 
    0     58     78      -     10      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     62      0 
    1     52     65      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     70      3 
    2     60     58      -     12      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     25     15 
    3     73     55      -     17      6      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0     15 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    121      0 
    1     59     65      -     13      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     31     13 
    2     72     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      6     15 
    3     38     55      -     19      6      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     35      2 
    0     50     77      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     74     11 
    1     75     65      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     19 
    2     64     58      -     14      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     30      9 
    3     39     55      -     20      7      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     70     70 
    0     50     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      1 
    1     46     65      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     46     10 
    2     70     58      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     19 
    3     45     55      -     16      5      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     18      8 
    0     49     78      -     13      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     90      0 
    1     49     65      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85     19 
    2     62     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     30      8 
    3     39     56      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     70      0 
    0     65     78      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     19     23 
    1     73     65      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     22     10 
    2     43     58      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     19 
    3     53     55      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      6     11 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     96      7 
    1     69     65      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     78      2 
    2     59     58      -     16      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     28     15 
    3     72     55      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0     54 
    0     73     77      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    114      2 
    1     63     65      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      2     18 
    2     72     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      6     15 
    3     39     56      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     36      1 
    0     50     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     66     13 
    1     76     65      -     12      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     18 
    2     47     58      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     47      5 
    3     40     56      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     69     54 
    0     74     77      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    121      0 
    1     60     65      -     15      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     31     14 
    2     72     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      6      0 
    3     45     56      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     34     63 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
