# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     53      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5127    116 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     57     78      -     63     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   3040     10 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     56      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     57     78      -     61      7      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5056    580 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     56      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0      0 
    1    186     66      -     92     18      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0     12    798 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     57     78      -     46      3      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   2631    745 
    1    136     64      -      1      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0     22    798 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      2 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     57     78      -     40      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     43    375 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     50     58      -     19      5      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0     53 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     58     78      -     49      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     48    738 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     87     54      -      2      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     39     10 
    0     69     78      -     10      3      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     65      0 
    1     51     63      -     14      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     63      6 
    2     65     57      -     16      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85      0 
    3     48     55      -     21      8      0      0      -      -    715   1328      0      0  14967      2      0      0      0      0     57     57 
    0     58     78      -     12      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     82     10 
    1     73     64      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     79      1 
    2     56     57      -     14      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     33     13 
    3     97     55      -     21      8      0      0      -      -    715   1328      0      0  14967      2      0      0      0      0      0     54 
    0     50     78      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     42     20 
    1     74     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     22      7 
    2     43     57      -     12      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     16 
    3     38     54      -     22      7      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     36     70 
    0     68     78      -     14      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      2     27 
    1     50     64      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     45      1 
    2     43     57      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0     13 
    3     38     54      -     22      7      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     59     70 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     71     77      -     14      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     46     64      -     16      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     25     15 
    2     71     57      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      6     11 
    3     38     55      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     67     70 
    0     72     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     99      5 
    1     66     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85      0 
    2     45     57      -     16      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     28     14 
    3     69     55      -     19      6      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0     12 
    0     66     77      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     30      0 
    1     49     64      -     13      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     79      1 
    2     59     57      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     18     17 
    3     60     55      -     16      5      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0     10 
    0     64     77      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     40      0 
    1     50     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     14      9 
    2     43     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     17 
    3     40     55      -     15      5      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      2     68 
    0     67     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      2     28 
    1     49     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      2     18 
    2     71     57      -     13      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     14     10 
    3     38     55      -     19      6      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     70     15 
    0     72     77      -     13      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     98      6 
    1     67     64      -     16      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85      0 
    2     58     57      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     24     15 
    3     69     55      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     66     13 
    1     75     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     62      6 
    2     65     58      -     12      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     16 
    3     38     55      -     15      5      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     36     70 
    0     73     77      -     10      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0    107      0 
    1     47     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85     16 
    2     42     58      -     14      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     53      0 
    3     53     55      -     19      6      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     65     56 
    0     55     77      -     13      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     90      8 
    1     71     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     18 
    2     45     58      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     48      2 
    3     40     55      -     23      8      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0     68     54 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14967      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
