# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     63     76      -     45      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5021    423 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14819      2      0      0      0      0      0      0 
    0     58     76      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5048    418 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14819      2      0      0      0      0      0      0 
    0     59     77      -     11      1      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3675    529 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0      0      0 
    2     47     57      -      3      1      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     79     51 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14819      2      0      0      0      0      0      0 
    0     57     77      -      9      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    114      2 
    1     74     64      -     10      4      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0      0      1 
    2     49     58      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     85     16 
    3     43     55      -     21      8      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     11     66 
    0     68     77      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     64      0 
    1     62     65      -     15      6      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0     62      6 
    2     64     58      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     19 
    3     53     55      -     16      6      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     47     60 
    0     48     77      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    111      0 
    1     68     65      -     15      6      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0     34     13 
    2     71     57      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     79      1 
    3     84     55      -     14      5      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     11     66 
    0     48     76      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     90      7 
    1     82     65      -     15      6      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0     84     19 
    2     50     57      -     13      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     46      4 
    3     45     55      -     15      5      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     69     15 
    0     51     77      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     17     24 
    1     80     65      -     15      6      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0     22     10 
    2     43     58      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     18 
    3     46     55      -     17      6      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     25      3 
    0     54     77      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     90      8 
    1     86     65      -     15      6      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0     78      1 
    2     59     58      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     23     16 
    3     78     55      -     18      7      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0      0     14 
    0     51     77      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     18     23 
    1     80     65      -     15      6      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0     30      8 
    2     43     58      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     19 
    3     46     55      -     19      7      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     22      6 
    0     52     77      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    115      1 
    1     74     65      -     15      6      0      0      -      -    715   1328      0      0  10537      2      0      -      -      0      2     18 
    2     70     58      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      6      5 
    3     96     56      -     15      5      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     69     69 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     77      -     11      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     58     14 
