# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     66     76      -     46      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5018    436 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  12133      2      0      0      0      0      0      0 
    0     56     76      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3620    564 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      1     12 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  12133      2      0      0      0      0      0      0 
    0     58     76      -     11      1      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4007    426 
    1     50     67      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     65     56      -      3      1      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0     19 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  12133      2      0      0      0      0      0      9 
    0     57     76      -      9      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     30      0 
    1     48     67      -     11      3      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84     19 
    2     67     56      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     30      8 
    3     42     53      -     16      6      0      0      -      -    715   1316      0      0  12133      2      0      0      0      0     78      0 
    0     81     77      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     22      0 
    1     49     67      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     85     19 
    2     56     56      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     38      6 
