# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     75      -     61      9      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0     40     10 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     57     76      -     54      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5152    579 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     56     76      -     62     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     38     10 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     55     76      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0      0 
    1    137     75      -     92     18      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0     20     66 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     56     77      -     46      3      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   2500    159 
    1     56     73      -     19      5      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0     52 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0   1008      8 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     56     77      -     40      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     41    327 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     48     54      -      0      0      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0      5 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     66     77      -     38      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4930    593 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     46     53      -      3      0      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0      0 
    3     35     50      -     16      4      0      0      -      -    715   1189      0      0   9353      2      0      0      0      0      0      7 
    0     89     77      -     39      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0    259    570 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     35     50      -      7      2      0      0      -      -    715   1189      0      0   9387      2      0      0      0      0      0      4 
    0     57     77      -      9      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0    118      0 
    1     51     72      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     30     14 
    2     69     53      -     13      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     71      3 
    3     98     51      -     19      7      0      0      -      -    715   1328      0      0   9399      2      0      0      0      0      2     74 
    0     60     77      -     11      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     11     25 
    1     72     72      -     12      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     30      8 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     19 
    3     51     51      -     19      7      0      0      -      -    715   1328      0      0   9399      2      0      0      0      0     37      6 
    0     70     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     90      8 
    1     74     72      -     13      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85      0 
    2     52     53      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     31     14 
    3     57     50      -     15      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0     17 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     76      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     91      7 
    1     74     72      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     63      4 
    2     61     53      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     39     51      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     76     57 
    0     55     77      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     74      0 
    1     54     72      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     71      2 
    2     55     53      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     25     15 
    3     54     50      -     14      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0     15 
    0     69     76      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      8      0 
    1     52     72      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85     18 
    2     42     53      -     15      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     48      2 
    3     38     50      -     18      6      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     84     13 
    0     66     76      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     23      0 
    1     53     72      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     14 
    2     40     53      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     58      0 
    3     54     51      -     16      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     72     58 
    0     55     76      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     46      0 
    1     55     72      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     16 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     52     19 
    3     50     51      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      8     11 
    0     66     77      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     38      0 
    1     54     72      -     16      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     18 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     49      2 
    3     38     51      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     82     56 
    0     54     77      -     13      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      7 
    1     75     72      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     62      6 
    2     62     53      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     17 
    3     37     51      -     14      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     46      0 
    0     58     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     62      4 
    1     50     72      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     54      7 
    2     64     53      -     16      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0     19 
    3     44     51      -     18      6      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     40     66 
    0     61     77      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     42     19 
    1     79     72      -     12      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     22      8 
    2     40     53      -     15      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85      1 
    3     74     51      -     16      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      2     73 
    0     63     77      -     12      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     10     26 
    1     81     72      -     15      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     22      8 
    2     41     53      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     17 
    3     42     51      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     29      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0      0 
