# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     72      -     43      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3545    434 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   9251      2      0      0      0      0      0      0 
    0     66     73      -     42      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4954    413 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   9251      2      0      0      0      0      0      0 
    0     55     73      -     10      1      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   2359    572 
    1     52     70      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     38     50      -      3      1      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     21 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   9251      2      0      0      0      0    368     51 
    0     53     73      -     16      1      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    185     36 
    1     74     70      -      2      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0    131      0 
    2     39     50      -      2      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0    647      8 
    3     36     47      -     17      6      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     88     19 
    0     59     73      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0      0     28 
    1     57     70      -     14      5      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     46      3 
    2     40     50      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     15 
    3     36     48      -     16      6      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     54     74 
    0     49     73      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     17     24 
    1     86     70      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     30      7 
    2     39     51      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     19 
    3     41     48      -     14      5      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     37      3 
    0     68     73      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     56     71      -     13      5      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     37     12 
    2     68     51      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      6     13 
    3     36     48      -     19      6      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     78     74 
    0     52     73      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     21 
    1     54     71      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     54     19 
    2     66     51      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      6     12 
    3     36     48      -     17      6      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     85     74 
    0     52     73      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     98      5 
    1     79     71      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     84     19 
