# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     53      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   1767     12 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0      0 
    0     59     78      -     62     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5096    355 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0      0 
    0     57     78      -     52      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0    197     10 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0      0 
    0     58     78      -     53      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5096    396 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     21    107 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0      0 
    0     89     78      -     50      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0    640    579 
    1     73     66      -      1      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0    798 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0      0 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0     25 
    1     50     64      -      0      0      0      0      -      -    715   1328      0      0  10583      2      0      -      -      0      0      0 
    2     50     58      -     16      4      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0      0     57 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0      0 
    0     76     78      -     49      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   4956    573 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     50     58      -     20      5      0      0      -      -    715   1328      0      0  10587      2      0      0      0      0    397    826 
    3    113     53      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     14     58 
    0     59     78      -     39      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5042    577 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -     22      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0     62 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0   2073 
    2     41     57      -      1      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     36     37 
    3     41     54      -      3      1      0      0      -      -    715   1328      0      0   9399      2      0      0      0      0    175     55 
    0     60     78      -     14      5      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     50     17 
    1     77     64      -     13      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     69      4 
    2     62     57      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0     19 
    3     53     55      -     18      7      0      0      -      -    715   1328      0      0   9399      2      0      0      0      0     42     66 
    0     52     78      -     14      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     19     23 
    1     70     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     41     11 
    2     71     58      -     16      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     79      2 
    3     78     54      -     19      6      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      1     19 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     72     78      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0     23 
    1     44     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     82     19 
    2     59     58      -     13      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     29     14 
    3     58     54      -     14      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     76     57 
    0     57     78      -     14      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     74     11 
    1     76     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0     15 
    2     43     57      -     16      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     55     19 
    3     49     54      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     10     64 
    0     60     78      -     11      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     50     17 
    1     75     64      -     14      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     14     10 
    2     43     58      -     13      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     12 
    3     38     54      -     14      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     77     19 
    0     74     78      -     10      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0     25 
    1     43     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     54     19 
    2     69     57      -     14      5      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     15      8 
    3     39     55      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     88     19 
    0     72     78      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     91      7 
    1     68     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85     13 
    2     43     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     60      0 
    3     40     54      -     19      6      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     65      7 
    0     59     78      -     10      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     57      0 
    1     51     64      -     17      6      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     54      6 
    2     65     58      -     11      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     16 
    3     38     55      -     15      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     48     74 
    0     69     77      -     14      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     46     64      -     13      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     38      0 
    2     43     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     79      1 
    3     77     55      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      2     73 
    0     70     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      6      0 
    1     47     64      -     11      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     85     18 
    2     44     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     48      2 
    3     39     55      -     18      6      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     85     55 
    0     55     78      -     15      5      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     82      9 
    1     73     64      -     12      4      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     77      2 
    2     60     58      -     17      6      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     69      0 
    3     41     55      -     21      7      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     21      7 
    0     61     78      -     13      4      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0     54      0 
    1     51     64      -     15      5      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0     63      5 
    2     64     58      -     12      4      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0     85     17 
    3     38     55      -     14      5      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0     46      0 
    0     47     77      -     10      3      0      0      -      -    715   1189      0      0   2949      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10583      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10587      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9399      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
