# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     66     76      -     45      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5022    572 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9251      2      0      0      0      0      0      0 
    0     56     76      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4993    572 
    1     46     63      -      0      0      0      0      -      -    715   1189      0      0  10513      2      0      -      -      0      0      1 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10439      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   9251      2      0      0      0      0      0      0 
    0     58     76      -     42      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3757    505 
    1     48     64      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     45     57      -      6      2      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     75      0 
    3     37     53      -      0      0      0      0      -      -    715   1189      0      0   9325      2      0      0      0      0    311      0 
    0     55     77      -      8      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    166     17 
    1     85     64      -     11      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      6     12 
    2     42     57      -     16      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     65     19 
    3     47     54      -     18      6      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     21      9 
    0     70     77      -     12      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     58     16 
    1     88     64      -     11      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0     14 
    2     42     57      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     57     19 
    3     50     54      -     14      5      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     58     61 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     62      0 
    1     59     65      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     62      5 
    2     62     57      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     19 
    3     50     54      -     19      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     10     11 
    0     64     76      -     13      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      3 
    1     51     65      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     54      8 
    2     66     57      -     13      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     18 
    3     41     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     45      0 
    0     48     76      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    110      0 
    1     64     65      -     12      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     37     12 
    2     70     57      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     79     12 
    3     38     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     88     19 
    0     57     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     73     12 
    1     88     65      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0     17 
    2     42     57      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     49      2 
    3     39     54      -     17      5      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     86     55 
    0     49     77      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     66      0 
    1     58     65      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      7     11 
    2     43     57      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     64     19 
    3     48     54      -     14      5      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     21      9 
    0     72     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     26 
    1     50     65      -     14      5      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     52     19 
    2     71     57      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     14      0 
    3     45     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      2     74 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     53     77      -     11      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    105      4 
    1     74     65      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     84     19 
    2     52     57      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     41      5 
    3     39     54      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     87     54 
    0     49     77      -     11      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     74     11 
    1     87     65      -     10      4      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     95     11 
    2     72     57      -     13      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      6     12 
    3     38     55      -     14      5      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     79     74 
    0     54     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     82      9 
    1     80     65      -     14      5      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     85     16 
    2     42     57      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     52      2 
    3     40     55      -     20      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     82     56 
    0     50     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     71      0 
    1     62     65      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     32      6 
    2     43     57      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     17 
    3     38     55      -     16      5      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     46      1 
    0     71     77      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     24 
    1     51     65      -     13      5      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0     57     19 
    2     70     57      -     17      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     15      9 
    3     39     55      -     21      7      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0     88     54 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   9349      2      0      0      0      0      0      0 
