# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     78      -     62     10      0      0      -      -    715   1328      0      0   2947      2      0      -      -      0   2316     10 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     71     78      -     64     10      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     38    590 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     58     79      -     59      6      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0     51      5 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     64     79      -     48      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5152    590 
    1     48     72      -      1      0      0      0      -      -    715   1189      0      0  10543      2      0      -      -      0      1      7 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0    123     79      -     49      4      0      0      -      -    715   1328      0      0   2949      2      0      -      -      0   5251    581 
    1     57     74      -      1      0      0      0      -      -    715   1328      0      0  10585      2      0      -      -      0     98    167 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     56     79      -      0      0      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0      0    406 
    1     56     73      -      0      0      0      0      -      -    715   1328      0      0  10585      2      0      -      -      0      0      0 
    2    148     55      -      0      0      0      0      -      -    715   1328      0      0  10589      2      0      0      0      0     10    805 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0    137     79      -     57      6      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0   2752    583 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0      0 
    2     47     55      -     20      5      0      0      -      -    715   1328      0      0  10589      2      0      0      0      0    284    856 
    3     97     51      -      0      0      0      0      -      -    715   1189      0      0  14923      2      0      0      0      0     21    805 
    0     57     79      -     54      7      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0      0 
    2     39     54      -      0      0      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0      0 
    3    114     55      -     91     20      0      0      -      -    715   1328      0      0  14969      2      0      0      0      0     37     11 
    0     74     79      -     11      4      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0     58     14 
    1     80     73      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     79      1 
    2     58     55      -     13      4      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     38     11 
    3    113     53      -     19      7      0      0      -      -    715   1328      0      0  14969      2      0      0      0      0      0     70 
    0     68     79      -     15      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     30      0 
    1     54     73      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0     19 
    2     58     54      -     17      6      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     38      8 
    3     45     53      -     21      8      0      0      -      -    715   1328      0      0  14969      2      0      0      0      0     69     70 
    0     50     79      -     15      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     74     11 
    1     77     73      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     79      1 
    2     57     55      -     17      6      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     28     15 
    3     71     53      -     18      6      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0     15 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     78      -     15      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     66     13 
    1     81     73      -     15      5      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0     17 
    2     48     55      -     11      4      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     46      5 
    3     38     53      -     15      5      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     69      0 
    0     57     78      -     12      4      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     83      9 
    1     74     73      -     12      4      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     85     19 
    2     48     55      -     11      4      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     46      5 
    3     38     53      -     23      8      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     69     54 
    0     62     78      -     12      4      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     48      0 
    1     55     73      -     11      4      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     79      1 
    2     56     55      -     13      4      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     30     14 
    3     74     53      -     23      8      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      0 
    0     64     78      -     15      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0      0     18 
    1     80     73      -     11      4      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     14     12 
    2     41     55      -     15      5      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     65      0 
    3     40     53      -     23      8      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     64     56 
    0     56     78      -     15      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     71      0 
    1     58     73      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     54      7 
    2     65     55      -     17      6      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     85      0 
    3     42     53      -     23      8      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     44     61 
