# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     73     77      -     46      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4973    567 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     71     78      -     43      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5030    471 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0     15 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     66     78      -     26      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5027    432 
    1     55     74      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     50     53      -      3      1      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0     22 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      9 
    0     89     78      -     13      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0      0     27 
    1     64     74      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     38      9 
    2     46     54      -     15      6      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     85     19 
    3     66     51      -     21      7      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0      0     15 
    0     82     78      -     11      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     10     25 
    1     71     74      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     31     10 
    2     41     54      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     62      2 
    3     44     51      -     21      8      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     69     54 
    0     64     78      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     42     19 
    1     80     74      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     15     12 
    2     41     54      -     16      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     64     19 
    3     60     51      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0     55 
    0     70     78      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     14     21 
    1     50     74      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84     19 
    2     67     54      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     22      9 
    3     89     51      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     69     70 
    0     48     78      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    110      0 
    1     52     74      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     43     10 
    2     68     54      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     19 
    3     46     51      -     17      6      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     13      9 
    0     50     78      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     82      0 
    1     55     74      -     16      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84     19 
    2     63     54      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     30      9 
    3     38     51      -     18      6      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     69     70 
    0     49     78      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    102      1 
    1     52     74      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     38      0 
    2     46     54      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     19 
    3     55     52      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      3     12 
    0     49     78      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    106      3 
    1     71     74      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0     19 
    2     69     54      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     71     13 
    3     37     51      -     21      7      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     58     70 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     78      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    118      0 
    1     64     74      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     35     13 
    2     71     54      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     16 
    3     37     52      -     22      7      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     30      3 
    0     51     78      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     79      0 
    1     59     74      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     54      7 
    2     63     54      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0     19 
    3     55     52      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      1     12 
    0     50     78      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     11     25 
    1     73     74      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     38      8 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     19 
    3     46     52      -     22      7      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     10     10 
    0     50     78      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     90      8 
    1     74     74      -     13      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     85      0 
    2     42     54      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     54      8 
    3     89     52      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     69     70 
    0     49     78      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    121      0 
    1     66     74      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     32     13 
    2     69     54      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     48     78      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     49     74      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     47     78      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     48     74      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     47     78      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     48     74      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     47     78      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
