# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     77      -     59      7      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0   5152    585 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      0 
    0     59     78      -     62     10      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0   5146    110 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      0 
    0     57     78      -     52      5      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0   2910     12 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      0 
    0     56     78      -     28      5      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0      0      0 
    1    110     66      -     92     19      0      0      -      -    715   1328      0      0  10585      2      0      -      -      0     40     12 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      0 
    0    134     78      -     49      4      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0   3650    577 
    1     59     65      -     17      4      0      0      -      -    715   1328      0      0  10585      2      0      -      -      0      0     35 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      0 
    0    125     78      -     49      4      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0    693    581 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0      0 
    2    141     60      -      1      0      0      0      -      -    715   1328      0      0  10589      2      0      0      0      0     18    805 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      0 
    0     57     78      -     38      4      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0   1576    272 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0      0 
    3     36     54      -      1      0      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      6 
    0     86     78      -      0      0      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0     21      0 
    1     43     64      -      1      0      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     85      0 
    2     45     59      -     12      4      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     46      9 
    3    114     56      -      3      0      0      0      -      -    715   1328      0      0  14969      2      0      0      0      0     69     15 
    0     59     78      -     14      5      0      0      -      -    715   1328      0      0   2951      2      0      -      -      0     66      0 
    1     51     64      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     14     12 
    2     44     59      -     12      4      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     66     19 
    3     57     56      -     21      8      0      0      -      -    715   1328      0      0  14969      2      0      0      0      0      5     10 
    0     57     78      -     15      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     48      0 
    1     51     64      -     16      5      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     69      4 
    2     63     59      -     15      5      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0     19 
    3     51     56      -     20      6      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      0      9 
    0     74     77      -     11      4      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0      0     24 
    1     47     64      -     12      4      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     53     19 
    2     70     59      -     15      5      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     44     10 
    3     87     56      -     23      8      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     69     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     51     78      -     15      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     19     23 
    1     67     64      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     30      7 
    2     44     59      -     16      5      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     85     17 
    3     40     56      -     16      5      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     27      1 
    0     67     77      -     12      4      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     30      0 
    1     48     64      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     85     14 
    2     44     59      -     13      4      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     57     18 
    3     40     56      -     23      8      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     24     68 
    0     56     77      -     14      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     81     10 
    1     74     64      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     71      3 
    2     63     59      -     17      6      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0     19 
    3     59     56      -     15      5      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0      1     11 
    0     72     77      -     13      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0      0      0 
    1     46     64      -     17      6      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     55     19 
    2     70     59      -     11      4      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0     23      7 
    3     39     56      -     23      8      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     69     15 
    0     65     77      -     13      4      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     18     24 
    1     69     64      -     11      4      0      0      -      -    715   1189      0      0  10585      2      0      -      -      0     37     12 
    2     73     59      -     17      6      0      0      -      -    715   1189      0      0  10589      2      0      0      0      0      0     16 
    3     38     56      -     15      5      0      0      -      -    715   1189      0      0  14969      2      0      0      0      0     35     70 
    0     62     77      -     13      5      0      0      -      -    715   1189      0      0   2951      2      0      -      -      0     40      0 
