# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     99     76      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5114    546 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     78     76      -     43      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4957    572 
    1     43     64      -      3      1      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     80     30 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      0      0 
    0     70     76      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5059    528 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  10537      2      0      -      -      0      0      0 
    2     49     60      -      3      1      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0      0      0 
    3    102     55      -      3      1      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     53     26 
    0     74     77      -     10      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     54     13 
    1     45     65      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     78      1 
    2     67     60      -     14      5      0      0      -      -    715   1316      0      0  10537      2      0      0      0      0     51      4 
    3     45     56      -     21      8      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     69     54 
    0     80     77      -     13      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     38      0 
    1     50     65      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84      2 
    2     61     60      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     38     11 
    3    104     56      -     16      6      0      0      -      -    715   1316      0      0  14917      2      0      0      0      0     69     15 
    0     58     76      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     58     15 
    1     76     65      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      6     12 
    2     44     60      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     65      0 
    3     58     56      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     11      0 
    0     52     76      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     79      0 
    1     54     65      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     41     11 
    2     71     60      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     79     12 
    3     39     56      -     15      5      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     66     70 
    0     55     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     89      8 
    1     73     65      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     84      5 
    2     65     60      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85      0 
    3     62     56      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     51     59 
    0     51     76      -     11      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     11     25 
    1     64     65      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     38      6 
    2     45     60      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     85     15 
    3     40     56      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     25      2 
    0     70     76      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     23 
    1     44     65      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     82     19 
    2     67     60      -     12      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     30      6 
    3     39     56      -     19      6      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     69     15 
    0     58     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     13 
    1     45     65      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0     78     12 
    2     44     60      -     16      6      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     62     19 
    3     48     56      -     15      5      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0      8      9 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     69     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    121      0 
    1     60     65      -     17      6      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      2     19 
    2     64     60      -     11      4      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     32      6 
    3     39     56      -     23      8      0      0      -      -    715   1189      0      0  14917      2      0      0      0      0     69     15 
    0     59     76      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     58     16 
    1     74     65      -     15      5      0      0      -      -    715   1189      0      0  10537      2      0      -      -      0      6     11 
    2     44     60      -     14      5      0      0      -      -    715   1189      0      0  10537      2      0      0      0      0     65     19 
