# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     77      -     54      6      0      0      -      -    715   1328      0      0   3001      2      0      -      -      0   5114    583 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0      0      0 
    0     57     77      -     59      7      0      0      -      -    715   1328      0      0   3017      2      0      -      -      0   5143    241 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0      0      0 
    0     70     78      -     49      4      0      0      -      -    715   1328      0      0   3017      2      0      -      -      0   5116    582 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0      0      0 
    0     77     77      -     48      4      0      0      -      -    715   1328      0      0   3017      2      0      -      -      0   5092    582 
    1     56     68      -     10      2      0      0      -      -    715   1328      0      0  10381      2      0      -      -      0      0      2 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0      0      0 
    0     63     78      -     14      0      0      0      -      -    715   1328      0      0   3017      2      0      -      -      0   4947    467 
    1     52     67      -      0      0      0      0      -      -    715   1328      0      0  10381      2      0      -      -      0      0      0 
    2     48     57      -     10      2      0      0      -      -    715   1328      0      0  10381      2      0      0      0      0    260     86 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0      0      0 
    0     81     78      -     47      3      0      0      -      -    715   1328      0      0   3017      2      0      -      -      0   3961    581 
