# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     60     76      -     46      4      0      0      -      -    715   1328      0      0   3001      2      0      -      -      0   4599    566 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0      0      0 
    0     60     77      -     45      3      0      0      -      -    715   1328      0      0   3001      2      0      -      -      0   5054    563 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0      0     14 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0      0      0 
    0     58     76      -     42      3      0      0      -      -    715   1328      0      0   3001      2      0      -      -      0   3814    572 
    1     50     67      -      0      0      0      0      -      -    715   1316      0      0  10365      2      0      -      -      0      0      0 
    2     47     57      -      3      1      0      0      -      -    715   1316      0      0  10365      2      0      0      0      0      0      6 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0     64     57 
    0     62     77      -     13      5      0      0      -      -    715   1328      0      0   3001      2      0      -      -      0    120     28 
    1     54     67      -     16      5      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0     42      7 
    2     48     57      -     10      4      0      0      -      -    715   1316      0      0  10365      2      0      0      0      0     85     19 
    3     52     54      -     21      8      0      0      -      -    715   1316      0      0  13963      2      0      0      0      0     56     58 
    0     69     77      -     14      5      0      0      -      -    715   1328      0      0   3001      2      0      -      -      0     72      0 
    1     52     67      -     16      6      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0     84     18 
    2     45     57      -     16      5      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0     35     13 
    3     96     54      -     18      6      0      0      -      -    715   1316      0      0  13963      2      0      0      0      0     69      0 
    0     74     76      -     11      4      0      0      -      -    715   1189      0      0   3001      2      0      -      -      0    114      1 
    1     59     67      -     15      5      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0     37     12 
    2     70     57      -     12      4      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0     79      1 
    3     70     54      -     19      6      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0     33     63 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   3001      2      0      -      -      0    118     26 
    1     47     67      -     13      4      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0     51      1 
    2     43     57      -     14      5      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0     78      2 
    3     76     54      -     15      5      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0     11     66 
    0     48     76      -     10      4      0      0      -      -    715   1189      0      0   3001      2      0      -      -      0    121      0 
    1     62     67      -     16      6      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0     27     15 
    2     72     57      -     16      5      0      0      -      -    715   1189      0      0  10365      2      0      0      0      0      0     17 
    3     38     54      -     22      8      0      0      -      -    715   1189      0      0  13963      2      0      0      0      0     27      3 
    0     52     77      -     15      5      0      0      -      -    715   1189      0      0   3001      2      0      -      -      0      0      0 
    1     48     67      -     16      6      0      0      -      -    715   1189      0      0  10365      2      0      -      -      0     29     14 
