# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     60     76      -     43      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3621    581 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0      0      0 
    0     55     77      -     43      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   2835    141 
    1     52     66      -     87     18      0      0      -      -    715   1316      0      0  10377      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0      0      0 
    0     65     77      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5048    441 
    1     50     66      -      0      0      0      0      -      -    715   1316      0      0  10377      2      0      -      -      0      0      0 
    2     47     57      -      0      0      0      0      -      -    715   1316      0      0  10377      2      0      0      0      0      0     73 
    3     40     54      -     82     18      0      0      -      -    715   1316      0      0  14363      2      0      0      0      0      0      0 
    0     58     77      -     10      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     82      9 
    1     75     66      -     16      6      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     70      3 
    2     60     58      -     12      4      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     21     16 
    3     75     54      -     14      5      0      0      -      -    715   1316      0      0  14363      2      0      0      0      0      0     14 
    0     49     77      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     66     13 
    1     74     66      -     12      4      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0      0     16 
    2     43     57      -     16      6      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     53      0 
    3     57     55      -     21      8      0      0      -      -    715   1316      0      0  14363      2      0      0      0      0     69     55 
    0     49     77      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     58     14 
    1     76     66      -     16      6      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0      6     13 
    2     43     58      -     11      4      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     49      3 
    3     39     55      -     19      6      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0     69     54 
    0     49     77      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     73     12 
    1     76     66      -     16      6      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     70     10 
    2     43     58      -     16      5      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     85      0 
    3     55     55      -     23      8      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0     63     56 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     58     14 
    1     75     66      -     16      6      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     62      5 
    2     59     58      -     12      4      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     19     19 
    3     47     55      -     15      5      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0     10      8 
    0     65     77      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     11     25 
    1     63     66      -     11      4      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     38      6 
    2     43     58      -     16      6      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     85      0 
    3     42     55      -     22      7      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0     39     62 
    0     51     77      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     10     25 
    1     63     66      -     14      5      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     38      5 
    2     43     58      -     16      6      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0      0     15 
    3     38     55      -     19      6      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0     69     70 
    0     55     77      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     82      9 
    1     75     66      -     12      4      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     78      1 
    2     59     58      -     12      4      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     20     16 
    3     63     55      -     15      5      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0      0     12 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     65     77      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     10     26 
    1     68     66      -     17      6      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     32     12 
    2     71     58      -     11      4      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     71      3 
    3     79     55      -     15      5      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0     69     70 
    0     56     77      -     14      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     74     11 
    1     74     66      -     11      4      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     70      3 
    2     62     58      -     15      5      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     85     19 
    3     45     55      -     21      7      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0     12      0 
    0     52     77      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     85      0 
    1     56     66      -     12      4      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     39      3 
    2     43     58      -     11      4      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     85     16 
    3     38     55      -     15      5      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0     35     70 
    0     54     77      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     22 
    1     45     66      -     16      6      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0     82      0 
    2     44     58      -     11      4      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0     52      8 
    3     93     55      -     15      5      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0      0     70 
    0     47     77      -     11      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  10377      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10377      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  14363      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
