# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     63     77      -     49      3      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0   5152    587 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     57     77      -     47      3      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0     49    503 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     57     77      -     48      3      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0   5133    583 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      -      -      0     14     36 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     72     77      -     44      4      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0   5010    585 
    1     50     65      -      9      2      0      0      -      -    715   1328      0      0  10205      2      0      -      -      0    469     23 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     57     77      -     48      5      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0   4530    573 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  10205      2      0      -      -      0      0      1 
    2    113     59      -      1      0      0      0      -      -    715   1328      0      0  10205      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     60     78      -     47      4      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0   5075    557 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     42     56      -     92     19      0      0      -      -    715   1328      0      0  13747      2      0      0      0      0      0      0 
    0     57     78      -     50      4      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0   2326    579 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     41     55      -      0      0      0      0      -      -    715   1328      0      0  13747      2      0      0      0      0      0      0 
    0     58     77      -     57      7      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0   5090    299 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0   2911      2      0      -      -      0   5048    583 
    1     55     66      -     95     19      0      0      -      -    715   1328      0      0  10205      2      0      -      -      0      0     40 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
