# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     66     75      -     58      6      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0     49    589 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     97     77      -     49      4      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5142    588 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     58     76      -     60      8      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5107    582 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     56     76      -     43      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0     28    335 
    1     91     70      -     10      2      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      0      0 
    2     39     54      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     56     76      -      0      0      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   1439    449 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      0      0 
    2     47     55      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0     53 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     70     77      -     50      4      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5052    573 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     46     54      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0      0 
    3     76     51      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0     38     38 
    0    104     76      -     43      2      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5080    579 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     41     52      -      0      0      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0      0      0 
    0     57     76      -     45      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4974    315 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     60     77      -     43      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0      0    536 
    1     52     69      -      3      1      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0      0      0 
    2     45     54      -      3      1      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0     87      6 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0     10 
    0     58     77      -     58      6      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5128    585 
    1     52     69      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0      0      0 
    2     45     54      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     39     52      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     57     77      -     49      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4161    138 
    1     52     69      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0      0      0 
    2     45     54      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     39     52      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    160     77      -     57      6      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   3631    587 
    1     52     69      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0      0      0 
    2     45     54      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     39     52      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0      0    329 
