# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     62     76      -     61      8      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5096    578 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     61     77      -     56      7      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5065    542 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     64     77      -     52      5      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5046    576 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     56     77      -     44      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0     26    356 
    1     81     64      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      0    374 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     60     77      -      8      0      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4950    346 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      0      0 
    2     54     66      -     10      2      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0    194     76 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     64     78      -     46      5      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4796    555 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     54     66      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0      0 
    3    104     60      -     58     12      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0     41     40 
    0     61     78      -     45      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4981    570 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0      0      0 
    0     96     77      -     44      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4901    462 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     64     77      -     43      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4007    562 
    1     49     63      -      3      1      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0     84      6 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0     93     26 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     59     77      -     42      3      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4954    415 
    1     48     63      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0     73 
    3     43     60      -     61     13      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     59     78      -     49      4      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   1528    375 
    1     48     63      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0      0      0 
    2     54     66      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     63     78      -     57      7      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   5074    577 
    1     48     63      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0      0      0 
    2     54     66      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0    123     78      -     56      6      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0    991    573 
    1     61     63      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      -      -      0      0      5 
    2     54     66      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0    105     78      -     49      4      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4971    435 
    1     49     63      -      9      2      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      0     94 
    2     54     66      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      5 
    3     43     59      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     64     78      -     49      4      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0   4963    562 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      0      0 
    2     55     66      -      9      2      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0     19 
    3     42     59      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      2 
    0     56     78      -     41      5      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0      0      0 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      0    345 
    2     55     66      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     29     35 
    3     51     60      -     62     12      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     61     15 
    0     80     78      -     11      4      0      0      -      -    715   1328      0      0   2915      2      0      -      -      0     50     18 
    1     90     63      -     12      4      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      6      0 
    2     62     66      -     15      6      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     46      7 
    3     49     60      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     69     70 
    0     57     78      -     11      4      0      0      -      -    715   1189      0      0   2915      2      0      -      -      0      0     23 
    1     51     63      -     15      6      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0     82      0 
    2     69     66      -     15      6      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0     18 
    3     50     60      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     23      8 
    0     71     77      -     12      4      0      0      -      -    715   1189      0      0   2915      2      0      -      -      0      0      0 
    1     54     64      -     12      4      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0     34     13 
    2     95     67      -     14      5      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     85     19 
    3     59     60      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     11      0 
    0     49     78      -     11      4      0      0      -      -    715   1189      0      0   2915      2      0      -      -      0    118      0 
    1     67     64      -     16      6      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0     46     10 
    2     93     66      -     10      4      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     85     19 
    3     66     60      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     65     55 
    0     52     77      -     12      4      0      0      -      -    715   1189      0      0   2915      2      0      -      -      0     11     25 
    1     79     63      -     16      6      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0     30     11 
    2     59     67      -     13      5      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     59      3 
    3     50     61      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     69     54 
    0     51     78      -     15      5      0      0      -      -    715   1189      0      0   2915      2      0      -      -      0     50     17 
    1     89     64      -     16      6      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0      6     17 
    2     60     67      -     11      4      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     50      6 
    3     49     61      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     69     70 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     62     77      -     13      4      0      0      -      -    715   1189      0      0   2915      2      0      -      -      0     58     15 
    1     91     64      -     16      6      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0     79     18 
    2     59     67      -     14      5      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     46      7 
    3     49     61      -     17      6      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     69      0 
    0     64     78      -     15      5      0      0      -      -    715   1189      0      0   2915      2      0      -      -      0     74     10 
    1     89     64      -     16      6      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0     84     19 
    2     85     67      -     15      6      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     30     11 
    3     48     61      -     14      5      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     67     70 
    0     64     77      -     14      5      0      0      -      -    715   1189      0      0   2915      2      0      -      -      0     58     16 
    1     91     64      -     11      4      0      0      -      -    715   1328      0      0  10247      2      0      -      -      0     85     19 
    2     76     67      -     14      5      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     33     10 
