# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     76      -     45      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3379    533 
    1     47     61      -      0      0      0      0      -      -    715   1328      0      0  10133      2      0      -      -      0      0      0 
    2     54     67      -      0      0      0      0      -      -    715   1328      0      0  10133      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  13763      2      0      0      0      0      0      0 
    0     81     76      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4757    557 
    1     47     61      -      0      0      0      0      -      -    715   1328      0      0  10133      2      0      -      -      0      6    110 
    2     55     67      -      0      0      0      0      -      -    715   1328      0      0  10133      2      0      0      0      0      0      0 
    3     39     60      -      0      0      0      0      -      -    715   1189      0      0  13763      2      0      0      0      0      0      0 
    0     59     76      -     42      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   4649    568 
    1     48     61      -      0      0      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0      0      0 
    2     56     67      -      3      1      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0      0      0 
    3     46     60      -      3      1      0      0      -      -    715   1189      0      0  13837      2      0      0      0      0      0     57 
    0     66     76      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     98      5 
    1     73     61      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     25     15 
    2     98     68      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0      0     19 
    3     70     61      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     68     54 
    0     57     76      -     11      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    114      1 
    1     69     61      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     36     12 
    2     96     68      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     85     19 
    3     66     61      -     20      7      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      1     14 
    0     63     76      -     13      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    120      0 
    1     68     62      -     11      4      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     44      8 
    2     60     68      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     85     19 
    3     77     61      -     15      5      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0     15 
    0     67     77      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    106      3 
    1     75     62      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0      0     14 
    2     97     68      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     85     19 
    3     58     62      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      9     56 
    0     58     77      -     14      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    106      4 
    1     74     62      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0      0      5 
    2     61     68      -     11      4      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     85     19 
    3     59     62      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      9     13 
    0     67     77      -     12      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0     98      5 
    1     76     62      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0      0      1 
    2     61     68      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     85     19 
    3     74     62      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0     15 
    0     60     76      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     16 
    1     50     62      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     84     19 
    2     92     68      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     22      0 
    3     58     62      -     17      6      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     11     66 
    0     52     76      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    118      0 
    1     67     62      -     13      5      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     46     10 
    2     94     68      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     85     19 
    3     78     62      -     17      6      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0     15 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     69     76      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     11     25 
    1     82     62      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     54      7 
    2     90     68      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0      0      2 
    3     51     62      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     69     54 
    0     49     76      -     11      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     81     10 
    1     80     62      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     85     19 
    2     97     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0      7      0 
    3     56     62      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     41     61 
    0     52     76      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      8     26 
    1     72     62      -     14      5      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     38     10 
    2     61     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     85     19 
    3     83     62      -     18      7      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0     15 
    0     60     76      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     15 
    1     50     62      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      -      -      0     84     19 
    2     97     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     14     16 
    3     48     62      -     19      7      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     29      7 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0      0 
    2     59     68      -      0      0      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0      0      0 
    3     46     61      -      0      0      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0      0 
    2     48     68      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     46     61      -      0      0      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0      0 
    2     48     67      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     46     61      -      0      0      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0      0 
    2     48     67      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     46     61      -      0      0      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0      0 
    2     48     67      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     39     61      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0      0 
    2     48     67      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     39     61      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0      0 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0      0 
    2     47     67      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     39     61      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
