# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     86     77      -     51      4      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   5047    574 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     62     77      -     54      6      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   5051    576 
    1     44     65      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     58     78      -     78     16      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0      0      0 
    1    156     67      -     95     18      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0     40     12 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     57     77      -     50      4      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   3094    562 
    1     52     67      -     10      2      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0    100 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0     40     40 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     58     77      -     52      5      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   4817    368 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     52     63      -      1      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     22    107 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     64     78      -     47      5      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   5016    598 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     45     63      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     47     60      -     93     18      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0      0      0 
    0     58     78      -     45      3      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   4941    427 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     44     59      -      0      0      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0      0      0 
    0     57     78      -     36      3      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   1316    561 
    1     50     66      -      3      1      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0      0      0 
    2     51     63      -      3      1      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0     55 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0     15 
    0     58     78      -     49      4      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   5016    575 
    1     50     66      -      0      0      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0      0      0 
    2     50     63      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     71     78      -     48      4      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0     47    207 
    1     50     66      -      0      0      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0      0      0 
    2     50     63      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     57     79      -     39      8      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0      0      0 
    1    118     68      -     54     10      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0     44     10 
    2     50     63      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     63     78      -     48      4      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   4928    219 
    1     52     67      -      9      2      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0     39 
    2     51     63      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     42     58      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     58     78      -     47      5      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0   4940    143 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0      0 
    2     74     64      -      9      2      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0     65 
    3     42     58      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      4 
    0     56     78      -     23      3      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0      0      0 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0    386 
    2     52     63      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0     31 
    3     45     60      -     24      5      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0    126     56 
    0     81     78      -     15      6      0      0      -      -    715   1328      0      0   7091      2      0      -      -      0    107      1 
    1     73     67      -     15      6      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0     43     10 
    2     87     64      -     14      5      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     21     16 
    3     92     60      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     69     70 
    0     50     78      -     16      6      0      0      -      -    715   1189      0      0   7091      2      0      -      -      0      0      8 
    1     54     67      -     16      6      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0     82     19 
    2     81     64      -     15      6      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     30     15 
    3     48     60      -     19      7      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     37      8 
    0     53     78      -     16      6      0      0      -      -    715   1189      0      0   7091      2      0      -      -      0     42     16 
    1     98     67      -     16      6      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0     82     19 
    2     82     64      -     15      6      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     30     14 
    3     48     60      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     38      7 
    0     54     78      -     16      6      0      0      -      -    715   1189      0      0   7091      2      0      -      -      0     40     17 
    1     95     67      -     12      5      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      6     19 
    2     65     64      -     12      4      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     46      9 
    3    118     60      -     15      5      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0      0      1 
    0     54     78      -     14      5      0      0      -      -    715   1189      0      0   7091      2      0      -      -      0     97      0 
    1     67     67      -     16      6      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0     68      3 
