# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     61     77      -     46      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   5014    434 
    1     47     70      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     57     77      -     43      2      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   2950    583 
    1     47     70      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0     14 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     59     78      -     44      3      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0   3755    542 
    1     53     71      -      0      0      0      0      -      -    715   1316      0      0  10231      2      0      -      -      0      0      0 
    2     46     57      -      3      1      0      0      -      -    715   1316      0      0  10231      2      0      0      0      0     78      0 
    3     36     53      -      6      2      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0     78     54 
    0     65     78      -      9      4      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    106      4 
    1     69     71      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0     82     19 
    2     81     57      -     10      4      0      0      -      -    715   1316      0      0  10231      2      0      0      0      0     22     12 
    3     43     54      -     18      6      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     66     70 
    0     57     78      -     13      5      0      0      -      -    715   1328      0      0   2899      2      0      -      -      0    109      0 
    1     61     71      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0     39      5 
    2     43     57      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0     77      2 
    3     85     55      -     15      5      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     11     66 
    0     52     78      -     12      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      2     27 
    1     60     71      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0     40     14 
    2     69     57      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      5 
    3     84     54      -     15      5      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0     69     70 
    0     54     78      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     23 
    1     48     71      -     15      5      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0     82     19 
    2     62     57      -     12      4      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0     30      7 
    3     39     54      -     23      8      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0     69     15 
    0     55     78      -     10      4      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     90      6 
    1     72     71      -     11      4      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0     84     17 
    2     42     57      -     12      4      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0     17     17 
    3     63     54      -     23      8      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0     12 
    0     60     78      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     50     17 
    1     81     71      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      8     11 
    2     42     57      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0     67      0 
    3     41     54      -     23      8      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0     12      8 
    0     60     78      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     70      0 
    1     57     71      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0      0     11 
    2     43     57      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0     68     19 
    3     45     55      -     20      7      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0     13     62 
    0     51     78      -     13      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     40     20 
    1     80     71      -     16      6      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0     42     11 
    2     72     57      -     11      4      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0     85     14 
    3     38     55      -     15      5      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0     38     70 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     53     78      -     10      3      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0    121     23 
    1     48     71      -     11      4      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0     81     19 
    2     69     57      -     13      4      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0     24      3 
    3     39     55      -     22      7      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0     12 
    0     60     78      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0      0     11 
    1     49     71      -     15      5      0      0      -      -    715   1189      0      0  10231      2      0      -      -      0     77      2 
    2     60     58      -     17      6      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0     18     17 
    3     62     55      -     23      8      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0     12 
    0     60     78      -     15      5      0      0      -      -    715   1189      0      0   2899      2      0      -      -      0     50     17 
