# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     89     77      -     49      4      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   5215    590 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11597      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   3104    580 
    1     60     67      -     95     19      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0      0     65 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     77     77      -     27      2      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   4997    573 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0      0      0 
    2     53     64      -      9      2      0      0      -      -    715   1328      0      0  10205      2      0      0      0      0    515    280 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     60     77      -     46      4      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   5002    562 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11597      2      0      -      -      0      0      0 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10205      2      0      0      0      0      0      0 
    3    114     60      -     72     14      0      0      -      -    715   1316      0      0  13747      2      0      0      0      0     44     33 
    0     93     78      -     52      6      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   5133    584 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11597      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13747      2      0      0      0      0      0      0 
    0     65     78      -     45      3      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   2949    575 
    1     52     66      -      8      2      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0    124     56 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10205      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0      0 
    0     75     78      -     51      4      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   3231    583 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0      0      0 
    2     53     64      -      8      2      0      0      -      -    715   1328      0      0  10205      2      0      0      0      0    136    242 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13747      2      0      0      0      0      0     33 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0      0    772 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0      0      0 
    2     53     64      -      2      0      0      0      -      -    715   1328      0      0  10205      2      0      0      0      0      0      0 
    3     43     60      -     32      6      0      0      -      -    715   1328      0      0  13747      2      0      0      0      0      0      0 
    0    134     78      -     51      4      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0     47     31 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0      0      0 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10205      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13747      2      0      0      0      0      0      0 
    0     96     78      -     48      4      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   5068    580 
    1     52     66      -      9      2      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0      0     59 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10205      2      0      0      0      0      0      1 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13747      2      0      0      0      0      0      0 
    0     73     78      -     50      4      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0   5048    575 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0      0      0 
    2     56     65      -      0      0      0      0      -      -    715   1328      0      0  10205      2      0      0      0      0      0     77 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13747      2      0      0      0      0      7    277 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0  15439      2      0      -      -      0    116     14 
    1    104     66      -      2      0      0      0      -      -    715   1328      0      0  11597      2      0      -      -      0    123      0 
