# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    146     77      -     84     16      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     72     26 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0     98     23 
    2     45     63      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0      0      0 
    0     79     76      -     43      3      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0   5063    541 
    1     50     66      -      0      0      0      0      -      -    715   1316      0      0  11585      2      0      -      -      0      0      0 
    2     51     64      -      3      1      0      0      -      -    715   1316      0      0  10193      2      0      0      0      0      0     54 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0      0     13 
    0     58     77      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     79      4 
    1     46     66      -     17      6      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0     85      1 
    2     55     64      -     15      6      0      0      -      -    715   1316      0      0  10193      2      0      0      0      0     63      5 
    3     94     59      -     21      8      0      0      -      -    715   1316      0      0  13735      2      0      0      0      0     49     59 
    0     60     77      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     79      0 
    1     60     66      -     17      6      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0     55      7 
    2     70     64      -     16      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     36     12 
    3     98     59      -     21      8      0      0      -      -    715   1316      0      0  13735      2      0      0      0      0     33     62 
    0     67     77      -     19      7      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0     68      3 
    1     66     66      -     17      6      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0      0      7 
    2     48     64      -     16      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     85     19 
    3     49     59      -     23      8      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0     11     14 
    0     49     77      -     19      7      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0      0      4 
    1     46     66      -     17      6      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0      1     20 
    2     65     64      -     16      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     38     13 
    3     40     59      -     18      6      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0     35      9 
    0     50     77      -     14      5      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0     80      0 
    1     60     66      -     14      5      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0     47      9 
    2     68     64      -     15      5      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     32     13 
    3     77     59      -     19      6      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0     69      0 
    0     66     77      -     19      7      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0     67      4 
    1     63     66      -     17      6      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0     43     11 
    2     74     64      -     14      5      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     85      3 
    3     42     59      -     23      8      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0     69     70 
    0     61     77      -     19      7      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0     16      0 
    1     50     66      -     17      6      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0     29     14 
    2     74     64      -     13      4      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      6      0 
    3     46     60      -     23      8      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0     51     59 
    0     84     77      -     19      7      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0     11     15 
    1     76     66      -     17      6      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0      2     19 
    2     70     64      -     14      5      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     30     14 
    3     43     60      -     23      8      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0     23     11 
    0     50     77      -     19      7      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0     80      0 
    1     59     66      -     15      5      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0     56      7 
    2     72     64      -     16      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     25     15 
    3     69     60      -     18      6      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0      0     70 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     59     77      -     15      5      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0     28      0 
    1     49     66      -     12      4      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0     28     15 
    2     76     64      -     16      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     85     19 
    3     58     60      -     23      8      0      0      -      -    715   1189      0      0  13735      2      0      0      0      0      1     15 
    0     49     77      -     19      7      0      0      -      -    715   1189      0      0  15427      2      0      -      -      0     69      0 
    1     53     66      -     17      6      0      0      -      -    715   1189      0      0  11585      2      0      -      -      0      0     20 
