# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     92     77      -     59      8      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0   2540    583 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11623      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     52     78      -     96     18      0      0      -      -    715   1252      0      0  15443      2      0      -      -      0      0      0 
    1    118     70      -     85     16      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0   1474     11 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     97     78      -     50      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5069    501 
    1     54     70      -      8      2      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0     46 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     65     78      -     48      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1165    578 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0      0 
    2     48     58      -      5      1      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0    545     31 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     58     78      -     51      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1324    569 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     47     58      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     84     55      -     16      3      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0     46      8 
    0     58     78      -     41      2      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5000    568 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0     11 
    2     41     58      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     42     55      -      0      0      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0      0      0 
    0     67     78      -     43      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5087    416 
    1     52     70      -      0      0      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0      0      0 
    2     59     58      -      3      1      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0     18 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      9 
    0     60     79      -     51      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5184    579 
    1     52     70      -      0      0      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0      0      0 
    2     47     58      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     40     55      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     76     79      -     97     14      0      0      -      -    715    911      0      0  15443      2      0      -      -      0     37     41 
    1     53     70      -      0      0      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0      0      0 
    2     47     58      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     40     55      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     63     79      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4929    527 
    1     54     71      -      9      2      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0    504     29 
    2     47     58      -      0      0      0      0      -      -    715   1316      0      0  10247      2      0      0      0      0      0      0 
    3     40     55      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     67     79      -     43      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5092    504 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0      0 
    2     53     59      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0     34 
    3     40     55      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     79      -     47      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0      0 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0   1130 
    2     48     58      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0      0 
    3     43     56      -     94     18      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0    116     58 
    0     98     79      -     19      7      0      0      -      -    715   1227      0      0  15443      2      0      -      -      0     10     16 
    1     99     71      -     16      6      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0     20     16 
    2     90     59      -     15      6      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0     19 
    3     90     56      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0      0      0 
    0     54     79      -     19      7      0      0      -      -    715   1227      0      0  15443      2      0      -      -      0     80      0 
    1     59     71      -     16      6      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0     72      4 
    2     74     59      -     16      6      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0     61      6 
    3    103     57      -     21      8      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0     69     54 
    0     74     79      -     19      7      0      0      -      -    715   1189      0      0  15443      2      0      -      -      0     65      4 
    1     85     71      -     16      6      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0     45     11 
