# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     60     76      -     59      8      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0   5078    588 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  11623      2      0      -      -      0      0      0 
    2     48     66      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     39     60      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     57     78      -     96     19      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0      0 
    1    115     63      -     62     12      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0     42     13 
    2     48     67      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      0 
    3     39     60      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     95     77      -     47      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4251    563 
    1     48     62      -      8      2      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      9     63 
    2     47     67      -      0      0      0      0      -      -    715   1189      0      0  10231      2      0      0      0      0      0      5 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     58     77      -     41      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4058    315 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     55     67      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0    390      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  13861      2      0      0      0      0      0      0 
    0     57     77      -     47      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1543    434 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     55     67      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0      0 
    3    125     61      -      6      1      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0     39     38 
    0     61     77      -     45      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5026    577 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  11639      2      0      -      -      0      0      0 
    2     47     67      -      0      0      0      0      -      -    715   1189      0      0  10247      2      0      0      0      0      0      0 
    3     44     61      -      0      0      0      0      -      -    715   1328      0      0  13877      2      0      0      0      0      0      0 
    0     77     77      -     43      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4737    543 
    1     48     62      -      0      0      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0      0      0 
    2     72     67      -      3      1      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0     55 
    3     39     60      -      0      0      0      0      -      -    715   1189      0      0  13877      2      0      0      0      0      0      0 
    0     60     77      -     57      6      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5086    579 
    1     48     62      -      0      0      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0      0      0 
    2     55     67      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0      0 
    3     43     61      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0    129     79      -     96     18      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     42     37 
    1     48     62      -      0      0      0      0      -      -    715   1316      0      0  11639      2      0      -      -      0     18     45 
    2     55     67      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     82     78      -     49      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4992    167 
    1     49     63      -      9      2      0      0      -      -    715   1328      0      0  11639      2      0      -      -      0      0     81 
    2     55     67      -      0      0      0      0      -      -    715   1328      0      0  10247      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1316      0      0  13877      2      0      0      0      0      0      0 
    0     57     78      -     48      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      8    546 
