# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    126     76      -     45      3      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     78     30 
    1     48     61      -      0      0      0      0      -      -    715   1328      0      0  11525      2      0      -      -      0   1251    168 
    2     55     68      -      0      0      0      0      -      -    715   1328      0      0  10133      2      0      0      0      0      0      0 
    3     39     62      -      0      0      0      0      -      -    715   1189      0      0  13763      2      0      0      0      0      0      0 
    0     58     77      -     42      3      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0   4315    384 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0      0      0 
    2     57     68      -      3      1      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     81      6 
    3     39     61      -      0      0      0      0      -      -    715   1189      0      0  13763      2      0      0      0      0      0     51 
    0     58     77      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     54      7 
    1     82     62      -     16      6      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0      0      8 
    2     62     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     85      5 
    3     53     62      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     69      2 
    0     58     77      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     61      0 
    1     58     62      -     16      6      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0     21     16 
    2    100     69      -     16      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     38     12 
    3    114     63      -     22      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     34     62 
    0     84     77      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0      0     15 
    1     50     62      -     16      6      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0     52      6 
    2     88     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0      0     10 
    3     50     63      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     37     12 
    0     84     77      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0      6      0 
    1     54     62      -     16      6      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0     55      7 
    2     90     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     46      9 
    3    119     63      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     44     61 
    0     82     78      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     79      0 
    1     53     63      -     16      6      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0     71      0 
    2     65     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     55      7 
    3    105     63      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0     54     58 
    0     76     78      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0      0     18 
    1     81     63      -     16      6      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0     30      0 
    2     67     69      -     16      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     38     17 
    3     50     63      -     22      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      0     14 
    0     92     77      -     19      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     80      5 
    1     52     63      -     16      6      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0     23     16 
    2     98     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     26     15 
    3     98     63      -     21      8      0      0      -      -    715   1316      0      0  13861      2      0      0      0      0      2     68 
    0     89     78      -     18      7      0      0      -      -    715   1328      0      0  15427      2      0      -      -      0     64      4 
    1     73     63      -     16      6      0      0      -      -    715   1328      0      0  11623      2      0      -      -      0      0     13 
    2     62     69      -     15      6      0      0      -      -    715   1328      0      0  10231      2      0      0      0      0     62     10 
