# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     76      -     43      3      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0   2341     25 
    1     42     63      -      0      0      0      0      -      -    715   1189      0      0  11451      2      0      -      -      0      0      1 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10059      2      0      0      0      0      0      0 
    3     39     60      -      0      0      0      0      -      -    715   1189      0      0  13511      2      0      0      0      0      0      0 
    0     58     77      -     43      3      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0   2490    444 
    1     48     63      -      0      0      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0      0 
    2     53     66      -      3      1      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      0      0 
    3     43     60      -      6      2      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0    105 
    0     58     77      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     80      0 
    1     60     64      -     14      5      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0     20 
    2     80     66      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     69      4 
    3    103     62      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     45     60 
    0     70     77      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     79      2 
    1     52     64      -     14      5      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     79      1 
    2     74     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     53     14 
    3     49     62      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     58      9 
    0    109     77      -     17      6      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0      0     15 
    1     90     64      -     16      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      2     19 
    2     83     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     30     17 
    3     49     62      -     18      7      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     29     58 
    0     63     77      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     53      7 
    1     85     64      -     16      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0      4 
    2     57     67      -     14      5      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      6     19 
    3     55     62      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     13      0 
    0     50     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     80      0 
    1     53     64      -     14      5      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     64      5 
    2     79     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     38     12 
    3    107     62      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0      2     68 
    0     73     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     47      8 
    1     91     64      -     13      5      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      5     19 
    2     87     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     85     19 
    3     55     62      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     12     14 
    0     85     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0     18 
    1     80     64      -     15      5      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     30     16 
    2     55     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     38     11 
    3    109     63      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     69      2 
    0     58     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     30      0 
    1     58     64      -     15      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     22     16 
    2     87     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      8     19 
    3     57     63      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     17     13 
    0     55     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     28      0 
    1     58     65      -     15      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      5     18 
    2     88     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     85     19 
    3     60     63      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     13     14 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     68     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     11      0 
    1     55     65      -     14      5      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     41     12 
    2     85     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     26     15 
    3     93     63      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     69     70 
    0     83     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     11     15 
    1     93     64      -     13      5      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      6      0 
    2     59     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     46     13 
    3     50     63      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     66      6 
    0     57     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     50     64      -      0      0      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0      0 
    2     53     67      -      0      0      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      0      0 
    3     46     62      -      0      0      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     49     64      -      0      0      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0      0 
    2     53     67      -      0      0      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      0      0 
    3     46     62      -      0      0      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     49     64      -      0      0      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0      0 
    2     53     67      -      0      0      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      0      0 
