# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     76      -     54      6      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1215    545 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     47     66      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     75     77      -     44      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3366    578 
    1     49     63      -      6      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     31 
    2     47     66      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     39     60      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     57     77      -     49      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4979    343 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     67      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0    303     15 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     55     77      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0      0 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     48     67      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     44     61      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0    132     78      -     79     14      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     42     27 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     47     66      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     44     61      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     71     77      -     47      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4200    381 
    1     49     63      -      6      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     18 
    2     47     66      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0     36     26 
    3     39     61      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     59     77      -     47      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4677    546 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     55     67      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     65     60      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0    187 
