# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     76      -     46      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2154    576 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4988    565 
    1     51     64      -     96     19      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     56 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     93     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1908    568 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     80     51 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     96     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4872    557 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     91     60      -      9      2      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0     49     24 
    0     59     77      -     45      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5053    497 
    1     41     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     63     77      -     43      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4954    345 
    1     49     63      -      6      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0     40      6 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     57     77      -     47      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2908    564 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     61     66      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0     19 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      8    187 
    0     58     77      -      6      1      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5027    534 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     60      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0    136     79      -     97     21      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     41     28 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0     45     42 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     56     77      -     16      2      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0     75 
    1     49     63      -      1      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     66      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      5 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     59     78      -     47      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2012    560 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     66      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     93     61      -     94     19      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     78      -     20      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2363    573 
    1     58     64      -     69     15      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      8 
    2     56     66      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     45     60      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     59     78      -     41      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3661    421 
