# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     76      -     43      3      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     66     25 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11451      2      0      -      -      0   1585    190 
    2     47     66      -      0      0      0      0      -      -    715   1189      0      0  10059      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  13511      2      0      0      0      0      0      0 
    0     80     77      -     41      3      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0   4111    533 
    1     48     62      -      0      0      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0      0 
    2     85     67      -      3      1      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      0      0 
    3     38     60      -      0      0      0      0      -      -    715   1189      0      0  13511      2      0      0      0      0    233     20 
    0     92     77      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0      0     10 
    1     51     63      -     16      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     82      6 
    2     60     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     85      2 
    3     53     61      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     69     54 
    0     92     77      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     55      7 
    1     74     63      -     16      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     47      9 
    2     92     67      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     35     13 
    3    104     61      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     10     67 
    0     72     77      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     12      0 
    1     55     63      -     16      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     46     10 
    2     92     68      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     36     13 
    3     49     62      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     58     10 
    0     60     77      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     80      0 
    1     67     64      -     16      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     76      0 
    2     63     68      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     54      7 
    3     97     62      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     61     56 
    0     81     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0     18 
    1     84     64      -     16      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     30     19 
    2     63     68      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      0     13 
    3     50     62      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     58      9 
    0     57     77      -     18      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     10     16 
    1     89     64      -     15      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      6      0 
    2     63     68      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     60      6 
    3    106     62      -     20      7      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0      0      9 
    0     56     77      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     11     15 
    1     88     64      -     16      6      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0     80      7 
    2     61     68      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     85     14 
