# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     76      -     50      5      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5108    116 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     42     60      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     55     76      -      0      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     19    579 
    1     72     68      -     96     20      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     42     60      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     61     76      -     49      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5080    575 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     50     60      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0    225    187 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     75     76      -     45      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4946    575 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     50     60      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     58      -     47     10      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0    131     78      -     88     18      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     40     27 
    1     44     65      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     42     57      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     91     77      -     44      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4727    542 
    1     51     66      -      6      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0    268      0 
    2    110     61      -     56     12      0      0      -      -    715   1316      0      0  10163      2      0      0      0      0     38     26 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     60     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3852    359 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     50     60      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     37     57      -      6      1      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0    183     24 
    0     56     77      -     46      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   2494     87 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     50     60      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     42     57      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     62     77      -      6      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5072    578 
    1     52     67      -      2      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     50     60      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     42     57      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     82     77      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3774    579 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     52     61      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0     50 
    3     42     57      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     68     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0      0 
    1     51     66      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     52     60      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     59     77      -     43      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3566    538 
    1     52     66      -      3      1      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0     73      0 
    2     53     61      -     34      8      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     90     53 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0    118     77      -     12      1      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1701    587 
    1     51     66      -      2      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     52     61      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     44     58      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     57     78      -     97     21      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0    580 
