# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    140     75      -     66     11      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     78     30 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     67     28 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     63     74      -     41      3      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0   4796    413 
    1     52     69      -      0      0      0      0      -      -    715   1316      0      0  11549      2      0      -      -      0      0      0 
    2     48     54      -      3      1      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0      0     62 
    3     57     51      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     75      5 
    0     75     75      -     18      7      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     79      0 
    1     61     69      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0     17 
    2     47     55      -     15      6      0      0      -      -    715   1316      0      0  10157      2      0      0      0      0     49      0 
    3     56     52      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0     11     66 
    0     67     75      -     17      6      0      0      -      -    715   1328      0      0  15437      2      0      -      -      0     26      0 
    1     51     69      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     36     13 
    2     69     55      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     19     17 
    3     84     52      -     21      8      0      0      -      -    715   1316      0      0  13609      2      0      0      0      0      0      7 
    0     64     75      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     70      3 
    1     69     70      -     15      5      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      8 
    2     42     55      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     85      2 
    3     41     52      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     68     54 
    0     53     75      -     17      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     19     13 
    1     79     69      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      3      4 
    2     43     55      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     79     19 
    3     46     52      -     20      7      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     11     15 
    0     77     75      -     18      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     19     13 
    1     79     69      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     23     16 
    2     70     54      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      6      0 
    3     43     52      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     56     58 
    0     56     75      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     80      0 
    1     55     70      -     14      5      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     85      1 
    2     43     55      -     13      5      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     22     18 
    3     44     52      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     18     13 
    0     86     75      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      1 
    1     49     70      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     77      2 
    2     58     55      -     15      5      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0     10 
    3     39     52      -     22      7      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     69      3 
    0     78     75      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     50     70      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     48     15 
    2     42     55      -     16      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     38     12 
    3     87     52      -     19      6      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      2     68 
    0     71     75      -     16      5      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0     11 
    1     48     70      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     82      4 
    2     43     55      -     17      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     79      1 
    3     66     53      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     66     55 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     75      -     17      6      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0     18 
    1     78     70      -     17      6      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     15     20 
    2     50     55      -     17      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     46     11 
    3     39     53      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0     66      7 
    0     65     75      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     79      1 
    1     65     70      -     16      5      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0     48     10 
    2     69     55      -     17      6      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0     23     16 
    3     67     53      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0     70 
    0     73     75      -     19      7      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0     50      0 
    1     53     70      -     14      5      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      6     18 
    2     68     55      -     15      5      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      6     19 
    3     50     53      -     23      8      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      7     15 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     36     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0  15437      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  11549      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  10157      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  13609      2      0      0      0      0      0      0 
