# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     88     76      -     45      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   3941    588 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     98     77      -     15      0      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5058    579 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0    316     17 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     82     77      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5027    578 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      6      1      0      0      -      -    715   1316      0      0  10163      2      0      0      0      0    109     42 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     68     77      -     45      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4985    572 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1316      0      0  10163      2      0      0      0      0      0      0 
    3     43     60      -     56     11      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0    135     78      -     86     17      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0     44     27 
    1     42     62      -      0      0      0      0      -      -    715   1189      0      0  11555      2      0      -      -      0      0      2 
    2     46     65      -      0      0      0      0      -      -    715   1189      0      0  10163      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     56     77      -     36      3      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0      0      0 
    1     49     63      -      1      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     65      -      3      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     38     59      -      0      0      0      0      -      -    715   1189      0      0  13615      2      0      0      0      0      0      0 
    0     88     77      -     46      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4682    572 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3    130     60      -     86     18      0      0      -      -    715   1316      0      0  13615      2      0      0      0      0     50     25 
    0     66     77      -     54      7      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   1880    585 
    1     48     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     72     78      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5029    577 
    1     51     64      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0     38 
    2     54     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     83     77      -     48      4      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   4274    548 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     65      -      6      1      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0     54    206 
    3     77     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
    0     57     77      -     38      2      0      0      -      -    715   1328      0      0  15443      2      0      -      -      0   5008    273 
    1     49     63      -      0      0      0      0      -      -    715   1328      0      0  11555      2      0      -      -      0      0      0 
    2     56     65      -      0      0      0      0      -      -    715   1328      0      0  10163      2      0      0      0      0      0      0 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13615      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
