label	ot_tag	cpu_layers	threads	kv	split_mode	ctx	ub	run_index	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
thr40a	B18	14	40	q8_0	layer	32768	256	1	warmup	1	18.080386954181545	20.05414090303269	76	256
thr40a	B18	14	40	q8_0	layer	32768	256	1	warmup	2	17.473128921386483	20.73201470445422	76	256
thr40a	B18	14	40	q8_0	layer	32768	256	1	eval	1	17.989080768513208	38.62752359298366	1097	256
thr40a	B18	14	40	q8_0	layer	32768	256	1	eval	2	17.98211453932632	38.65760361409478	1097	256
thr40a	B18	14	40	q8_0	layer	32768	256	1	eval	3	17.983429534144175	38.67700526169454	1097	256
thr40a	B18	14	40	q8_0	layer	32768	256	1	eval	4	17.990899977904927	38.67257939970568	1097	256
thr40a	B18	14	40	q8_0	layer	32768	256	1	eval	5	17.99303191724892	38.67641072472542	1097	256
thr14	B18	14	14	q8_0	layer	32768	256	2	warmup	1	17.31817037318357	19.9641071971405	75	256
thr14	B18	14	14	q8_0	layer	32768	256	2	warmup	2	16.659350001620382	20.548710856075733	75	256
thr14	B18	14	14	q8_0	layer	32768	256	2	eval	1	17.121322493752725	38.623385028878204	1096	256
thr14	B18	14	14	q8_0	layer	32768	256	2	eval	2	17.167178206106325	38.68945404908964	1096	256
thr14	B18	14	14	q8_0	layer	32768	256	2	eval	3	17.16915853082169	38.63573960315244	1096	256
thr14	B18	14	14	q8_0	layer	32768	256	2	eval	4	17.16483924826318	38.64098662849106	1096	256
thr14	B18	14	14	q8_0	layer	32768	256	2	eval	5	17.123887850307252	38.62955996666439	1096	256
thr20	B18	14	20	q8_0	layer	32768	256	3	warmup	1	17.31056678244235	19.911465659093405	75	256
thr20	B18	14	20	q8_0	layer	32768	256	3	warmup	2	16.706695299506016	20.403072213001547	75	256
thr20	B18	14	20	q8_0	layer	32768	256	3	eval	1	17.179795620829832	38.40932544778667	1096	256
thr20	B18	14	20	q8_0	layer	32768	256	3	eval	2	17.160129886095618	38.470123228299016	1096	256
thr20	B18	14	20	q8_0	layer	32768	256	3	eval	3	17.160777514608615	38.43302120296479	1096	256
thr20	B18	14	20	q8_0	layer	32768	256	3	eval	4	17.183458048768667	38.486766364012965	1096	256
thr20	B18	14	20	q8_0	layer	32768	256	3	eval	5	17.17625575874231	38.43625869032938	1096	256
thr28	B18	14	28	q8_0	layer	32768	256	4	warmup	1	17.849866446741437	20.27386477170006	75	256
thr28	B18	14	28	q8_0	layer	32768	256	4	warmup	2	17.17329796349507	20.62669396724206	75	256
thr28	B18	14	28	q8_0	layer	32768	256	4	eval	1	17.64649277334762	38.63043273063514	1096	256
thr28	B18	14	28	q8_0	layer	32768	256	4	eval	2	17.64964746552786	38.62976011341923	1096	256
thr28	B18	14	28	q8_0	layer	32768	256	4	eval	3	17.64715452041514	38.66382478147266	1096	256
thr28	B18	14	28	q8_0	layer	32768	256	4	eval	4	17.657123221475917	38.6539454745188	1096	256
thr28	B18	14	28	q8_0	layer	32768	256	4	eval	5	17.642762859420465	38.682204583544774	1096	256
thr32	B18	14	32	q8_0	layer	32768	256	5	warmup	1	17.17294544658345	20.288217117466342	75	256
thr32	B18	14	32	q8_0	layer	32768	256	5	warmup	2	16.591890817062477	20.54188956899281	75	256
thr32	B18	14	32	q8_0	layer	32768	256	5	eval	1	17.028793494681594	38.434332575716425	1096	256
thr32	B18	14	32	q8_0	layer	32768	256	5	eval	2	17.035173174180454	38.45050364195733	1096	256
thr32	B18	14	32	q8_0	layer	32768	256	5	eval	3	17.027422997304015	38.45049419936055	1096	256
thr32	B18	14	32	q8_0	layer	32768	256	5	eval	4	17.023787151589243	38.495232597257186	1096	256
thr32	B18	14	32	q8_0	layer	32768	256	5	eval	5	17.029941031168253	38.47478104479532	1096	256
thr36	B18	14	36	q8_0	layer	32768	256	6	warmup	1	17.816610565222227	20.138801993687693	75	256
thr36	B18	14	36	q8_0	layer	32768	256	6	warmup	2	17.188859980419473	20.403516260378247	75	256
thr36	B18	14	36	q8_0	layer	32768	256	6	eval	1	17.661508632269314	38.43048901079115	1096	256
thr36	B18	14	36	q8_0	layer	32768	256	6	eval	2	17.66843226758178	38.49202707548852	1096	256
thr36	B18	14	36	q8_0	layer	32768	256	6	eval	3	17.656066176039534	38.47721236247556	1096	256
thr36	B18	14	36	q8_0	layer	32768	256	6	eval	4	17.65556327143518	38.48962767746984	1096	256
thr36	B18	14	36	q8_0	layer	32768	256	6	eval	5	17.649402884850055	38.46410579482108	1096	256
thr38	B18	14	38	q8_0	layer	32768	256	7	warmup	1	18.174855456652473	20.03691601406431	75	256
thr38	B18	14	38	q8_0	layer	32768	256	7	warmup	2	17.480571642006087	20.416913371036564	75	256
thr38	B18	14	38	q8_0	layer	32768	256	7	eval	1	17.980442335738125	38.32757487165858	1096	256
thr38	B18	14	38	q8_0	layer	32768	256	7	eval	2	17.972367344798254	38.33107345541687	1096	256
thr38	B18	14	38	q8_0	layer	32768	256	7	eval	3	17.97220836669483	38.36237060269139	1096	256
thr38	B18	14	38	q8_0	layer	32768	256	7	eval	4	17.977079925324897	38.3438614521534	1096	256
thr38	B18	14	38	q8_0	layer	32768	256	7	eval	5	17.975473028785753	38.34809694244955	1096	256
thr40_mid	B18	14	40	q8_0	layer	32768	256	8	warmup	1	17.83767644754312	20.33901933812549	76	256
