# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     59     76      -     48      4      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   5114    581 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  15731      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10269      2      0      0      0      0      0      0 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13847      2      0      0      0      0      0      0 
    0     60     77      -     47      3      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   3002    573 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     96     64      -     53     11      0      0      -      -    715   1316      0      0  10269      2      0      0      0      0     50     26 
    3     38     58      -      0      0      0      0      -      -    715   1189      0      0  13847      2      0      0      0      0      0      0 
    0     62     77      -     43      3      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   4957    549 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      0      0 
    3     84     58      -      5      1      0      0      -      -    715   1189      0      0  13847      2      0      0      0      0      0     52 
    0     55     77      -      2      0      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0    179     41 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  15731      2      0      -      -      0      0      0 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10269      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0      0    137 
    1    115     67      -     96     20      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      1 
    2     45     64      -      0      0      0      0      -      -    715   1189      0      0  10269      2      0      0      0      0      0      3 
    3     42     59      -      0      0      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      0 
    0     61     77      -     48      4      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   5046    256 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0     63    202 
    3     61     58      -      0      0      0      0      -      -    715   1189      0      0  13847      2      0      0      0      0      0      3 
    0     55     77      -     10      2      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0    191     27 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      0      0 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      0 
    0     58     77      -     48      4      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   3848    411 
    1     51     66      -      6      1      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      4 
    2     53     64      -      0      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      0     30 
    3     43     59      -      0      0      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      0 
    0     77     78      -     46      4      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   4956    544 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     55     65      -      1      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      0      0 
    3     43     59      -      6      1      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0     35     57 
    0     57     78      -     60      8      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   5061    245 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0     31 
    2     55     64      -      0      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      0      0 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      0 
    0     68     78      -     22      1      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   5041    439 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     63     65      -      3      1      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0     84      0 
    3     44     59      -      3      1      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0     18     62 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    105     78      -     46      3      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   5124    586 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     55     64      -      0      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      0      0 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      0 
    0     81     78      -     45      4      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   4673    577 
    1     51     66      -      1      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     55     64      -      5      1      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      4     44 
    3     45     59      -      0      0      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      0 
    0     64     78      -     49      4      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0   5030    510 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0      0 
    2     56     65      -      1      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      0      0 
    3     45     59      -      6      1      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0     23     60 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0      0      6 
    1     50     65      -      0      0      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0     55     16 
    2     98     64      -      0      0      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0     85      2 
    3    109     60      -      9      3      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0     72     58 
    0     61     78      -     14      5      0      0      -      -    715   1328      0      0  13713      2      0      -      -      0     58      1 
    1     76     66      -     17      6      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      0     14 
    2     58     65      -     17      6      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0     48      0 
    3     70     60      -     23      8      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0     25     68 
    0     57     78      -     15      5      0      0      -      -    715   1189      0      0  13713      2      0      -      -      0      0     13 
    1    104     66      -     17      6      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0      2     15 
    2     96     65      -     17      6      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0      8     21 
    3     63     60      -     25      9      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0     19 
    0     68     78      -     15      5      0      0      -      -    715   1189      0      0  13713      2      0      -      -      0     54      2 
    1     72     66      -     17      6      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0     64      1 
    2     85     65      -     17      6      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0     71      5 
    3    109     60      -     23      8      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0     74     57 
    0     56     77      -     15      5      0      0      -      -    715   1189      0      0  13713      2      0      -      -      0     60      7 
    1     54     66      -     19      7      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0     42      7 
    2     98     65      -     17      6      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0     47     12 
    3     96     60      -     25      9      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      5 
    0     49     78      -     15      5      0      0      -      -    715   1189      0      0  13713      2      0      -      -      0     50      0 
    1     60     66      -     17      6      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0     33     10 
    2    101     65      -     17      6      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0     34     14 
    3     82     60      -     23      8      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0      0      2 
    0     53     78      -     15      5      0      0      -      -    715   1189      0      0  13713      2      0      -      -      0     27      0 
    1     59     66      -     17      6      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0     39      8 
    2     94     66      -     17      6      0      0      -      -    715   1328      0      0  10269      2      0      0      0      0     52     18 
    3     54     61      -     23      8      0      0      -      -    715   1328      0      0  13847      2      0      0      0      0     35     17 
    0     83     78      -     15      5      0      0      -      -    715   1189      0      0  13713      2      0      -      -      0      4     12 
    1     98     66      -     18      7      0      0      -      -    715   1328      0      0  15731      2      0      -      -      0     25     11 
