# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     76      -     47     10      0      0      -      -    715   1328      0      0  13707      2      0      -      -      0      0    343 
    1     82     66      -     77     17      0      0      -      -    715   1316      0      0  15725      2      0      -      -      0      0      3 
    2     44     63      -      0      0      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0      0      1 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0      0      0 
    0     80     76      -     44      3      0      0      -      -    715   1328      0      0  13707      2      0      -      -      0   4744    583 
    1     49     65      -      0      0      0      0      -      -    715   1328      0      0  15725      2      0      -      -      0      0      0 
    2     51     63      -      0      0      0      0      -      -    715   1316      0      0  10263      2      0      0      0      0      0      0 
    3     46     58      -     59     13      0      0      -      -    715   1316      0      0  13841      2      0      0      0      0      0     72 
    0     79     76      -     14      5      0      0      -      -    715   1328      0      0  13707      2      0      -      -      0      4      0 
    1     48     65      -     18      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0     55      4 
    2     73     64      -     17      6      0      0      -      -    715   1316      0      0  10263      2      0      0      0      0     30     21 
    3     51     58      -     23      8      0      0      -      -    715   1316      0      0  13841      2      0      0      0      0     35     16 
    0     72     77      -     14      5      0      0      -      -    715   1328      0      0  13707      2      0      -      -      0     14     13 
    1     72     65      -     19      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0     15     16 
    2     55     64      -     18      6      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0      2     12 
    3     47     59      -     23      8      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0     85      6 
    0     63     76      -     13      5      0      0      -      -    715   1189      0      0  13707      2      0      -      -      0      0     12 
    1     49     65      -     18      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0     32     11 
    2     47     64      -     18      6      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0     67      9 
    3     43     59      -     25      8      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0     85     54 
    0     48     76      -     15      5      0      0      -      -    715   1189      0      0  13707      2      0      -      -      0     50      0 
    1     51     65      -     18      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0     21     12 
    2     80     64      -     18      6      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0      6     21 
    3     54     59      -     25      8      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0     13     19 
    0     53     76      -     15      5      0      0      -      -    715   1189      0      0  13707      2      0      -      -      0      6      0 
    1     51     65      -     18      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0     66      7 
    2     48     64      -     17      6      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0     93      4 
    3     46     59      -     25      8      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0     76     57 
    0     48     76      -     15      5      0      0      -      -    715   1189      0      0  13707      2      0      -      -      0     60      0 
    1     54     65      -     18      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0      0     16 
    2     63     64      -     18      6      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0     30     19 
    3     41     59      -     24      8      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0     43     60 
    0     49     76      -     15      5      0      0      -      -    715   1189      0      0  13707      2      0      -      -      0     60      0 
    1     46     65      -     18      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0     70      0 
    2     50     64      -     16      5      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0     69      6 
    3     96     59      -     25      8      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0      0      9 
    0     65     76      -     15      5      0      0      -      -    715   1189      0      0  13707      2      0      -      -      0     51      3 
    1     63     65      -     18      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0     50      5 
    2     75     64      -     18      6      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0     45     12 
    3     71     59      -     24      8      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0      0     74 
    0     52     76      -     15      5      0      0      -      -    715   1189      0      0  13707      2      0      -      -      0     32      0 
    1     50     65      -     18      6      0      0      -      -    715   1189      0      0  15725      2      0      -      -      0     42      9 
    2     48     64      -     16      5      0      0      -      -    715   1189      0      0  10263      2      0      0      0      0     68      9 
    3     44     59      -     25      8      0      0      -      -    715   1189      0      0  13841      2      0      0      0      0     85     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     76      -     15      5      0      0      -      -    715   1189      0      0  13707      2      0      -      -      0     60      0 
